participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,neuroticism_score,conscientiousness_score,openness_score,extraversion_score,agreeableness_score,grit_score,conscience_score,meta_cog,mindset_score,SC0,SC1,SC2,SC3,SC4,SC10,SC11,SC12,SC13,dataset,raven_version,raven_hit_rate,raven_total_duration,ucmrt_version,ucmrt_hit_rate,ucmrt_total_duration
1013,NA,2020-05-15,2020,NA,NA,NA,NA,2021_JP_R56,2.5,4,3.5,4.5,4,3.875,3.9,3.533333333333333,2.55,9,8,8,5,7,31,39,106,51,questionnaires,NA,NA,NA,NA,NA,NA
1014,NA,2020-05-15,2020,NA,NA,NA,NA,2021_JP_R56,4,2.5,2,3.5,4,3,3,3.533333333333333,1.55,7,8,5,8,4,24,30,106,31,questionnaires,NA,NA,NA,NA,NA,NA
1015,NA,2020-05-15,2020,NA,NA,NA,NA,2021_JP_R56,5,3.5,3,1,2.5,3.375,3.2,3.966666666666667,2.1,2,5,7,10,6,27,32,119,42,questionnaires,NA,NA,NA,NA,NA,NA
1016,Summer-2020-4,2020-05-19,2020,2019-2020,Summer,1,2020-05-18,2021_JP_R56,3.5,2,5,2.5,3.5,2.625,2.6,4.166666666666667,1.85,5,7,4,7,10,21,26,125,37,questionnaires,NA,NA,NA,NA,NA,NA
1017,Summer-2020-4,2020-05-20,2020,2019-2020,Summer,2,2020-05-18,2021_JP_R56,3.5,3,3,2,4.5,1.625,2.2,2.6666666666666665,2.9,4,9,6,7,6,13,22,80,58,questionnaires,NA,NA,NA,NA,NA,NA
1018,Summer-2020-4,2020-05-22,2020,2019-2020,Summer,4,2020-05-18,2021_JP_R56,4,2.5,4.5,2,3,2,2.3,2.8,1.95,4,6,5,8,9,16,23,84,39,questionnaires,NA,NA,NA,NA,NA,NA
1019,Summer-2020-4,2020-05-21,2020,2019-2020,Summer,3,2020-05-18,2021_JP_R56,2,3,3.5,5,3,2.25,3.3,2.5,2.3,10,6,6,4,7,18,33,75,46,questionnaires,NA,NA,NA,NA,NA,NA
1020,Summer-2020-4,2020-05-28,2020,2019-2020,Summer,10,2020-05-18,2021_JP_R56,4.5,5,4,1.5,4.5,4,4.7,3.8666666666666667,1.95,3,9,10,9,8,32,47,116,39,questionnaires,NA,NA,NA,NA,NA,NA
1021,Summer-2020-4,2020-05-27,2020,2019-2020,Summer,9,2020-05-18,2021_JP_R56,3.5,3,4,3,3,2.875,2.7,3.7333333333333334,2.05,6,6,6,7,8,23,27,112,41,questionnaires,NA,NA,NA,NA,NA,NA
1022,Summer-2020-4,2020-06-03,2020,2019-2020,Summer,16,2020-05-18,2021_JP_R56,3,5,3.5,3,5,4.375,4.8,4.733333333333333,3,6,10,10,6,7,35,48,142,60,questionnaires,NA,NA,NA,NA,NA,NA
1023,Summer-2020-4,2020-06-04,2020,2019-2020,Summer,17,2020-05-18,2021_JP_R56,2.5,4,4,4.5,4,3.875,5,4.866666666666666,2.05,9,8,8,5,8,31,50,146,41,questionnaires,NA,NA,NA,NA,NA,NA
1024,Summer-2020-4,2020-06-04,2020,2019-2020,Summer,17,2020-05-18,2021_JP_R56,1,5,4,4.5,4.5,4.25,4.8,3.5,1.95,9,9,10,2,8,34,48,105,39,questionnaires,NA,NA,NA,NA,NA,NA
1025,Summer-2020-4,2020-06-10,2020,2019-2020,Summer,23,2020-05-18,2021_JP_R56,4,5,4.5,4,2,4,4.1,4.033333333333333,2.45,8,4,10,8,9,32,41,121,49,questionnaires,NA,NA,NA,NA,NA,NA
1026,Summer-2020-4,2020-06-09,2020,2019-2020,Summer,22,2020-05-18,2021_JP_R56,2.5,3.5,1,3,2,2.75,3.3,2.8666666666666667,2.15,6,4,7,5,2,22,33,86,43,questionnaires,NA,NA,NA,NA,NA,NA
1027,Summer-2020-8,2020-06-16,2020,2019-2020,Summer,1,2020-06-15,2021_JP_R56,4.5,3.5,3,3,3.5,3,2.7,3.6666666666666665,1.35,6,7,7,9,6,24,27,110,27,questionnaires,NA,NA,NA,NA,NA,NA
1028,Summer-2020-8,2020-06-16,2020,2019-2020,Summer,1,2020-06-15,2021_JP_R56,3.5,5,3.5,3,4.5,4.125,4.9,4.9,2.65,6,9,10,7,7,33,49,147,53,questionnaires,NA,NA,NA,NA,NA,NA
1029,Summer-2020-8,2020-06-18,2020,2019-2020,Summer,3,2020-06-15,2021_JP_R56,3.5,4,4.5,3,4.5,3.75,4.4,3.3,2.85,6,9,8,7,9,30,44,99,57,questionnaires,NA,NA,NA,NA,NA,NA
1030,Summer-2020-8,2020-06-17,2020,2019-2020,Summer,2,2020-06-15,2021_JP_R56,4.5,4,4.5,4,2.5,3.125,3.6,3.533333333333333,1.9,8,5,8,9,9,25,36,106,38,questionnaires,NA,NA,NA,NA,NA,NA
1031,Summer-2020-8,2020-06-24,2020,2019-2020,Summer,9,2020-06-15,2021_JP_R56,3,4,4,2,5,3.875,4.9,3.8333333333333335,2.6,4,10,8,6,8,31,49,115,52,questionnaires,NA,NA,NA,NA,NA,NA
1032,Summer-2020-8,2020-06-25,2020,2019-2020,Summer,10,2020-06-15,2021_JP_R56,3.5,3,3,3,3.5,3.25,3.2,3.6,2.2,6,7,6,7,6,26,32,108,44,questionnaires,NA,NA,NA,NA,NA,NA
1033,Summer-2020-8,2020-06-23,2020,2019-2020,Summer,8,2020-06-15,2021_JP_R56,1,5,5,3,3,4,5,4.733333333333333,2.55,6,6,10,2,10,32,50,142,51,questionnaires,NA,NA,NA,NA,NA,NA
1034,Summer-2020-8,2020-06-23,2020,2019-2020,Summer,8,2020-06-15,2021_JP_R56,4,4,4,2.5,3.5,3.625,4,4.466666666666667,2.45,5,7,8,8,8,29,40,134,49,questionnaires,NA,NA,NA,NA,NA,NA
1035,Summer-2020-8,2020-07-01,2020,2019-2020,Summer,16,2020-06-15,2021_JP_R56,3.5,3,3,3.5,4.5,3.25,3,3.7,2.1,7,9,6,7,6,26,30,111,42,questionnaires,NA,NA,NA,NA,NA,NA
1036,Summer-2020-8,2020-06-26,2020,2019-2020,Summer,11,2020-06-15,2021_JP_R56,4,3.5,4,2.5,3,3.5,4,3.6,2.15,5,6,7,8,8,28,40,108,43,questionnaires,NA,NA,NA,NA,NA,NA
1037,Summer-2020-8,2020-06-29,2020,2019-2020,Summer,14,2020-06-15,2021_JP_R56,3.5,3.5,3,3,3.5,3.375,3.9,4.066666666666666,2,6,7,7,7,6,27,39,122,40,questionnaires,NA,NA,NA,NA,NA,NA
1038,Summer-2020-8,2020-06-30,2020,2019-2020,Summer,15,2020-06-15,2021_JP_R56,2,3.5,3.5,2,3,3.875,4.1,4.033333333333333,2.1,4,6,7,4,7,31,41,121,42,questionnaires,NA,NA,NA,NA,NA,NA
1039,Summer-2020-8,2020-07-01,2020,2019-2020,Summer,16,2020-06-15,2021_JP_R56,3,4,4,3.5,2.5,2.375,3,3.066666666666667,1.55,7,5,8,6,8,19,30,92,31,questionnaires,NA,NA,NA,NA,NA,NA
1040,Summer-2020-8,2020-07-02,2020,2019-2020,Summer,17,2020-06-15,2021_JP_R56,5,3.5,3,2,3.5,3.75,3.4,3.3333333333333335,2.15,4,7,7,10,6,30,34,100,43,questionnaires,NA,NA,NA,NA,NA,NA
1041,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,3.5,5,5,3.5,4.5,3.25,4.2,3.9,2.15,7,9,10,7,10,26,42,117,43,questionnaires,NA,NA,NA,NA,NA,NA
1042,Summer-2020-8,2020-07-02,2020,2019-2020,Summer,17,2020-06-15,2021_JP_R56,3,3,3.5,3,3.5,3,2.4,3.966666666666667,1.9,6,7,6,6,7,24,24,119,38,questionnaires,NA,NA,NA,NA,NA,NA
1043,Summer-2020-8,2020-07-01,2020,2019-2020,Summer,16,2020-06-15,2021_JP_R56,3,3,4.5,4.5,3.5,2.25,3,3.066666666666667,2.9,9,7,6,6,9,18,30,92,58,questionnaires,NA,NA,NA,NA,NA,NA
1044,Summer-2020-8,2020-07-03,2020,2019-2020,Summer,18,2020-06-15,2021_JP_R56,3,3.5,5,3.5,3.5,3.375,4,3.533333333333333,1.7,7,7,7,6,10,27,40,106,34,questionnaires,NA,NA,NA,NA,NA,NA
1045,Summer-2020-8,2020-07-09,2020,2019-2020,Summer,24,2020-06-15,2021_JP_R56,1,3.5,4,3,3,3.75,4.1,3.8333333333333335,2.3,6,6,7,2,8,30,41,115,46,questionnaires,NA,NA,NA,NA,NA,NA
1046,Summer-2020-8,2020-07-10,2020,2019-2020,Summer,25,2020-06-15,2021_JP_R56,2.5,5,2,4,2,4,4.6,4.333333333333333,2,8,4,10,5,4,32,46,130,40,questionnaires,NA,NA,NA,NA,NA,NA
1047,Summer-2020-8,2020-07-14,2020,2019-2020,Summer,29,2020-06-15,2021_JP_R56,3.5,4,3,5,3.5,3.5,4.2,3.5,2.25,10,7,8,7,6,28,42,105,45,questionnaires,NA,NA,NA,NA,NA,NA
1049,Summer-2020-8,2020-07-13,2020,2019-2020,Summer,28,2020-06-15,2021_JP_R56,4.5,5,2,2.5,3,3.125,3.7,3.533333333333333,2.1,5,6,10,9,4,25,37,106,42,questionnaires,NA,NA,NA,NA,NA,NA
1050,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,3.5,3.5,3,2.5,4.5,3.25,3.4,4.033333333333333,2.25,5,9,7,7,6,26,34,121,45,questionnaires,NA,NA,NA,NA,NA,NA
1051,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,2,3,4,3.5,4.5,2.875,3.2,3.5,2.05,7,9,6,4,8,23,32,105,41,questionnaires,NA,NA,NA,NA,NA,NA
1052,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,4.5,3.5,3.5,1.5,3.5,3.125,2.4,3.033333333333333,2.2,3,7,7,9,7,25,24,91,44,questionnaires,NA,NA,NA,NA,NA,NA
1053,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,4,3,3.5,2,2,2.75,3.2,3.3333333333333335,1.85,4,4,6,8,7,22,32,100,37,questionnaires,NA,NA,NA,NA,NA,NA
1054,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,2.5,3,5,3,4,2.125,2.4,2.433333333333333,2.05,6,8,6,5,10,17,24,73,41,questionnaires,NA,NA,NA,NA,NA,NA
1055,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,4.5,3.5,3,3.5,4,3.625,3.8,3.7333333333333334,2.15,7,8,7,9,6,29,38,112,43,questionnaires,NA,NA,NA,NA,NA,NA
1056,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,4,3,4.5,3.5,2,3.5,3.1,2.1333333333333333,1.4,7,4,6,8,9,28,31,64,28,questionnaires,NA,NA,NA,NA,NA,NA
1057,Summer-2020-8,2020-07-08,2020,2019-2020,Summer,23,2020-06-15,2021_JP_R56,2,3,4,3.5,4,3.625,3.9,3.533333333333333,2.15,7,8,6,4,8,29,39,106,43,questionnaires,NA,NA,NA,NA,NA,NA
1058,Summer-2020-8,2020-07-14,2020,2019-2020,Summer,29,2020-06-15,2021_JP_R56,3.5,4.5,4,2.5,2,3,4.5,3.933333333333333,2.25,5,4,9,7,8,24,45,118,45,questionnaires,NA,NA,NA,NA,NA,NA
1059,Summer-2020-8,2020-07-17,2020,2019-2020,Summer,32,2020-06-15,2021_JP_R56,3.5,3.5,5,3.5,3.5,2.5,3.5,3.7333333333333334,2.2,7,7,7,7,10,20,35,112,44,questionnaires,NA,NA,NA,NA,NA,NA
1060,Summer-2020-8,2020-07-16,2020,2019-2020,Summer,31,2020-06-15,2021_JP_R56,2.5,3,4,2.5,5,2.125,3.2,4.133333333333334,2.45,5,10,6,5,8,17,32,124,49,questionnaires,NA,NA,NA,NA,NA,NA
1061,Summer-2020-8,2020-07-15,2020,2019-2020,Summer,30,2020-06-15,2021_JP_R56,5,2.5,2,1.5,3,3.25,2.8,3.033333333333333,2.55,3,6,5,10,4,26,28,91,51,questionnaires,NA,NA,NA,NA,NA,NA
1062,Summer-2020-8,2020-07-21,2020,2019-2020,Summer,36,2020-06-15,2021_JP_R56,3,2.5,2.5,1,1.5,1.75,1.6,2.966666666666667,2.05,2,3,5,6,5,14,16,89,41,questionnaires,NA,NA,NA,NA,NA,NA
1063,Summer-2020-8,2020-07-14,2020,2019-2020,Summer,29,2020-06-15,2021_JP_R56,3.5,3,3,2.5,3,3,3.4,3.6,2.05,5,6,6,7,6,24,34,108,41,questionnaires,NA,NA,NA,NA,NA,NA
1066,Summer-2020-8,2020-07-15,2020,2019-2020,Summer,30,2020-06-15,2021_JP_R56,3.5,3,3,3,3.5,2.875,3.6,2.933333333333333,2.2,6,7,6,7,6,23,36,88,44,questionnaires,NA,NA,NA,NA,NA,NA
1067,Summer-2020-8,2020-07-15,2020,2019-2020,Summer,30,2020-06-15,2021_JP_R56,3,3.5,4,3,4,2.5,3.8,3.3,2.3,6,8,7,6,8,20,38,99,46,questionnaires,NA,NA,NA,NA,NA,NA
1068,Summer-2020-8,2020-07-15,2020,2019-2020,Summer,30,2020-06-15,2021_JP_R56,2,5,4,3.5,5,4.625,4.7,4.8,2.5,7,10,10,4,8,37,47,144,50,questionnaires,NA,NA,NA,NA,NA,NA
1070,Summer-2020-8,2020-07-16,2020,2019-2020,Summer,31,2020-06-15,2021_JP_R56,4.5,3.5,4.5,3,3,3.75,3.8,4.066666666666666,2.4,6,6,7,9,9,30,38,122,48,questionnaires,NA,NA,NA,NA,NA,NA
1072,Summer-2020-8,2020-07-17,2020,2019-2020,Summer,32,2020-06-15,2021_JP_R56,2.5,4.5,3.5,4,3,4,4.9,4.733333333333333,1.9,8,6,9,5,7,32,49,142,38,questionnaires,NA,NA,NA,NA,NA,NA
1073,Summer-2020-8,2020-07-22,2020,2019-2020,Summer,37,2020-06-15,2021_JP_R56,2,4.5,2.5,3.5,4,3.875,3.9,4.533333333333333,1.55,7,8,9,4,5,31,39,136,31,questionnaires,NA,NA,NA,NA,NA,NA
1074,Summer-2020-8,2020-07-21,2020,2019-2020,Summer,36,2020-06-15,2021_JP_R56,3.5,3.5,2.5,4.5,4,3.875,4.2,3.2666666666666666,2.5,9,8,7,7,5,31,42,98,50,questionnaires,NA,NA,NA,NA,NA,NA
1075,Summer-2020-8,2020-07-22,2020,2019-2020,Summer,37,2020-06-15,2021_JP_R56,5,3,2.5,4,4.5,2.875,4.1,3.566666666666667,2.35,8,9,6,10,5,23,41,107,47,questionnaires,NA,NA,NA,NA,NA,NA
1076,Summer-2020-8,2020-07-27,2020,2019-2020,Summer,42,2020-06-15,2021_JP_R56,3.5,4,3,5,3.5,2.875,3.5,3.066666666666667,1.6,10,7,8,7,6,23,35,92,32,questionnaires,NA,NA,NA,NA,NA,NA
1077,Summer-2020-8,2020-07-23,2020,2019-2020,Summer,38,2020-06-15,2021_JP_R56,2.5,3,3,3,4,3.875,3.9,4.833333333333333,2,6,8,6,5,6,31,39,145,40,questionnaires,NA,NA,NA,NA,NA,NA
1078,Summer-2020-8,2020-07-21,2020,2019-2020,Summer,36,2020-06-15,2021_JP_R56,3.5,3.5,4,2,4.5,3,3.3,4.3,1.45,4,9,7,7,8,24,33,129,29,questionnaires,NA,NA,NA,NA,NA,NA
1079,Summer-2020-8,2020-07-21,2020,2019-2020,Summer,36,2020-06-15,2021_JP_R56,4,2,5,4.5,5,2.875,2.9,3.433333333333333,2.55,9,10,4,8,10,23,29,103,51,questionnaires,NA,NA,NA,NA,NA,NA
1080,Summer-2020-8,2020-07-22,2020,2019-2020,Summer,37,2020-06-15,2021_JP_R56,3,4,3.5,3.5,4.5,3.75,3.2,3.8,2.4,7,9,8,6,7,30,32,114,48,questionnaires,NA,NA,NA,NA,NA,NA
1081,Summer-2020-8,2020-07-21,2020,2019-2020,Summer,36,2020-06-15,2021_JP_R56,3,5,5,2.5,3.5,4.375,3.7,4.733333333333333,2.8,5,7,10,6,10,35,37,142,56,questionnaires,NA,NA,NA,NA,NA,NA
1082,Summer-2020-8,2020-07-22,2020,2019-2020,Summer,37,2020-06-15,2021_JP_R56,4,3.5,3,5,2.5,3.75,4,4.433333333333334,0.6,10,5,7,8,6,30,40,133,12,questionnaires,NA,NA,NA,NA,NA,NA
1084,Summer-2020-8,2020-08-06,2020,2019-2020,Summer,52,2020-06-15,2021_JP_R56,3,5,2.5,2,4,3.625,4.6,4.166666666666667,2.2,4,8,10,6,5,29,46,125,44,questionnaires,NA,NA,NA,NA,NA,NA
1085,Summer-2020-8,2020-07-30,2020,2019-2020,Summer,45,2020-06-15,2021_JP_R56,4,3,4,3.5,2.5,3.375,3.3,3.433333333333333,1.95,7,5,6,8,8,27,33,103,39,questionnaires,NA,NA,NA,NA,NA,NA
1086,Summer-2020-8,2020-07-22,2020,2019-2020,Summer,37,2020-06-15,2021_JP_R56,3.5,3,4,2,3.5,3.25,3,3.9,2.4,4,7,6,7,8,26,30,117,48,questionnaires,NA,NA,NA,NA,NA,NA
1087,Summer-2020-8,2020-07-23,2020,2019-2020,Summer,38,2020-06-15,2021_JP_R56,4.5,3.5,3,1,3,2.625,2.9,3.8333333333333335,2.05,2,6,7,9,6,21,29,115,41,questionnaires,NA,NA,NA,NA,NA,NA
1088,Summer-2020-8,2020-07-23,2020,2019-2020,Summer,38,2020-06-15,2021_JP_R56,5,2.5,4.5,3,5,3.75,3.6,3.2666666666666666,2.3,6,10,5,10,9,30,36,98,46,questionnaires,NA,NA,NA,NA,NA,NA
1089,Summer-2020-8,2020-07-23,2020,2019-2020,Summer,38,2020-06-15,2021_JP_R56,4.5,5,5,4,4.5,3.5,3.7,3.466666666666667,2.1,8,9,10,9,10,28,37,104,42,questionnaires,NA,NA,NA,NA,NA,NA
1090,Summer-2020-8,2020-07-23,2020,2019-2020,Summer,38,2020-06-15,2021_JP_R56,4.5,3,4,2.5,3,3.125,2.7,2.8,2.05,5,6,6,9,8,25,27,84,41,questionnaires,NA,NA,NA,NA,NA,NA
1091,Summer-2020-8,2020-07-23,2020,2019-2020,Summer,38,2020-06-15,2021_JP_R56,3,3,3,4.5,4,3.625,3.7,3.8,1.95,9,8,6,6,6,29,37,114,39,questionnaires,NA,NA,NA,NA,NA,NA
1093,Summer-2020-8,2020-07-28,2020,2019-2020,Summer,43,2020-06-15,2021_JP_R56,2,3.5,3,2.5,5,4.375,3.8,4.1,2.55,5,10,7,4,6,35,38,123,51,questionnaires,NA,NA,NA,NA,NA,NA
1094,Summer-2020-8,2020-07-29,2020,2019-2020,Summer,44,2020-06-15,2021_JP_R56,4,2.5,3.5,4,4,3.125,3.2,3.3666666666666667,1.9,8,8,5,8,7,25,32,101,38,questionnaires,NA,NA,NA,NA,NA,NA
1095,Summer-2020-8,2020-07-30,2020,2019-2020,Summer,45,2020-06-15,2021_JP_R56,2.5,4.5,3.5,3,4,3.25,3.5,4,2.55,6,8,9,5,7,26,35,120,51,questionnaires,NA,NA,NA,NA,NA,NA
1096,Summer-2020-8,2020-07-30,2020,2019-2020,Summer,45,2020-06-15,2021_JP_R56,2,4.5,4,1.5,4,4,3.9,3.8,2.25,3,8,9,4,8,32,39,114,45,questionnaires,NA,NA,NA,NA,NA,NA
1097,Summer-2020-8,2020-07-29,2020,2019-2020,Summer,44,2020-06-15,2021_JP_R56,3,4,3.5,2,4.5,3.75,4.1,3.6666666666666665,2,4,9,8,6,7,30,41,110,40,questionnaires,NA,NA,NA,NA,NA,NA
1098,Summer-2020-8,2020-07-28,2020,2019-2020,Summer,43,2020-06-15,2021_JP_R56,4,4,3.5,3,3,3.25,4.1,3.533333333333333,2.25,6,6,8,8,7,26,41,106,45,questionnaires,NA,NA,NA,NA,NA,NA
1099,Summer-2020-8,2020-07-28,2020,2019-2020,Summer,43,2020-06-15,2021_JP_R56,2.5,3.5,4.5,3.5,3.5,2.625,3.2,3.6666666666666665,1.7,7,7,7,5,9,21,32,110,34,questionnaires,NA,NA,NA,NA,NA,NA
1100,Summer-2020-8,2020-07-28,2020,2019-2020,Summer,43,2020-06-15,2021_JP_R56,3,3,3.5,2.5,4,2.75,3,3.8333333333333335,2.05,5,8,6,6,7,22,30,115,41,questionnaires,NA,NA,NA,NA,NA,NA
1102,Summer-2020-8,2020-07-30,2020,2019-2020,Summer,45,2020-06-15,2021_JP_R56,4,4,2.5,2.5,3.5,2.75,3.4,3.1,1.9,5,7,8,8,5,22,34,93,38,questionnaires,NA,NA,NA,NA,NA,NA
1103,Summer-2020-8,2020-07-29,2020,2019-2020,Summer,44,2020-06-15,2021_JP_R56,4.5,3,3,3,3.5,3,3,3.3333333333333335,2.25,6,7,6,9,6,24,30,100,45,questionnaires,NA,NA,NA,NA,NA,NA
1104,Summer-2020-8,2020-07-29,2020,2019-2020,Summer,44,2020-06-15,2021_JP_R56,4,3.5,3.5,3,3.5,2.625,3.5,3.566666666666667,1.8,6,7,7,8,7,21,35,107,36,questionnaires,NA,NA,NA,NA,NA,NA
1105,Summer-2020-8,2020-07-29,2020,2019-2020,Summer,44,2020-06-15,2021_JP_R56,1.5,5,3,3,3,4.375,4.1,3.9,2.1,6,6,10,3,6,35,41,117,42,questionnaires,NA,NA,NA,NA,NA,NA
1106,Summer-2020-8,2020-07-30,2020,2019-2020,Summer,45,2020-06-15,2021_JP_R56,3,4,4.5,4.5,4,3.5,4.1,3.433333333333333,2.25,9,8,8,6,9,28,41,103,45,questionnaires,NA,NA,NA,NA,NA,NA
1107,Summer-2020-8,2020-08-04,2020,2019-2020,Summer,50,2020-06-15,2021_JP_R56,1.5,4,3,3,5,4.5,4.3,4.933333333333334,2.75,6,10,8,3,6,36,43,148,55,questionnaires,NA,NA,NA,NA,NA,NA
1108,Summer-2020-8,2020-08-04,2020,2019-2020,Summer,50,2020-06-15,2021_JP_R56,4,5,4.5,5,5,4.625,4.5,4.466666666666667,2.35,10,10,10,8,9,37,45,134,47,questionnaires,NA,NA,NA,NA,NA,NA
1109,Summer-2020-8,2020-08-05,2020,2019-2020,Summer,51,2020-06-15,2021_JP_R56,4,3,3,4,5,4.125,3.8,3.3,1.85,8,10,6,8,6,33,38,99,37,questionnaires,NA,NA,NA,NA,NA,NA
1110,Summer-2020-8,2020-08-04,2020,2019-2020,Summer,50,2020-06-15,2021_JP_R56,3,5,3,5,2,4.125,4.5,4.433333333333334,2,10,4,10,6,6,33,45,133,40,questionnaires,NA,NA,NA,NA,NA,NA
1111,Summer-2020-8,2020-08-06,2020,2019-2020,Summer,52,2020-06-15,2021_JP_R56,5,2.5,3,2.5,3,2.75,3.5,3.3,2.1,5,6,5,10,6,22,35,99,42,questionnaires,NA,NA,NA,NA,NA,NA
1113,NA,2020-08-12,2020,NA,NA,NA,NA,2021_JP_R56,4,1.5,4.5,4,4.5,1.75,2.5,3.9,1.9,8,9,3,8,9,14,25,117,38,questionnaires,NA,NA,NA,NA,NA,NA
1114,NA,2020-08-11,2020,NA,NA,NA,NA,2021_JP_R56,3,3.5,3.5,3.5,4,3.5,4.2,4.1,2.2,7,8,7,6,7,28,42,123,44,questionnaires,NA,NA,NA,NA,NA,NA
1115,NA,2020-08-20,2020,NA,NA,NA,NA,2021_JP_R56,2,3.5,4,4,4.5,3.125,2.6,4.566666666666666,2.75,8,9,7,4,8,25,26,137,55,questionnaires,NA,NA,NA,NA,NA,NA
1116,NA,2020-08-24,2020,NA,NA,NA,NA,2021_JP_R56,3.5,3.5,3.5,2,4,3.875,3.5,3.7333333333333334,2.35,4,8,7,7,7,31,35,112,47,questionnaires,NA,NA,NA,NA,NA,NA
1117,NA,2020-08-28,2020,NA,NA,NA,NA,2021_JP_R56,3,4,3.5,4.5,4,2.25,3.5,3.8333333333333335,1.85,9,8,8,6,7,18,35,115,37,questionnaires,NA,NA,NA,NA,NA,NA
1118,NA,2020-08-25,2020,NA,NA,NA,NA,2021_JP_R56,2.5,4,3,2,4,3.875,3.8,3.966666666666667,2.15,4,8,8,5,6,31,38,119,43,questionnaires,NA,NA,NA,NA,NA,NA
1119,NA,2020-08-26,2020,NA,NA,NA,NA,2021_JP_R56,3,3,3,1,3.5,2.875,3.4,3.1333333333333333,0.85,2,7,6,6,6,23,34,94,17,questionnaires,NA,NA,NA,NA,NA,NA
1120,NA,2020-08-27,2020,NA,NA,NA,NA,2021_JP_R56,4.5,3.5,4,3,4,3.125,3.1,2.8666666666666667,2.5,6,8,7,9,8,25,31,86,50,questionnaires,NA,NA,NA,NA,NA,NA
1121,NA,2020-09-01,2020,NA,NA,NA,NA,2021_JP_R56,4.5,2.5,4.5,1,2.5,2.125,3.1,2.8,1.6,2,5,5,9,9,17,31,84,32,questionnaires,NA,NA,NA,NA,NA,NA
1122,NA,2020-08-27,2020,NA,NA,NA,NA,2021_JP_R56,2,4.5,4,5,5,4.25,4.6,3.7333333333333334,2.25,10,10,9,4,8,34,46,112,45,questionnaires,NA,NA,NA,NA,NA,NA
