participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,source,grit_overall,matrices_hit_rate,ucmrt_hit_rate,sandia_matrices_hit_rate,neuroticism_score,extraversion_score,conscientiousness_score,openness_score,agreeableness_score,adhd_clinical,adhd_total,growth_mindset_score,grit_1,grit_2,grit_3,grit_4,grit_5,grit_6,grit_7,grit_8,adhd_1,adhd_2,adhd_3,adhd_4,adhd_5,adhd_6,neo_pi_1,neo_pi_2,neo_pi_3,neo_pi_4,neo_pi_5,neo_pi_6,neo_pi_7,neo_pi_8,neo_pi_9,neo_pi_10,neo_pi_11,neo_pi_12,neo_pi_13,neo_pi_14,neo_pi_15,neo_pi_16,neo_pi_17,neo_pi_18,neo_pi_19,neo_pi_20,neo_pi_21,neo_pi_22,neo_pi_23,neo_pi_24,neo_pi_25,neo_pi_26,neo_pi_27,neo_pi_28,neo_pi_29,neo_pi_30,neo_pi_31,neo_pi_32,neo_pi_33,neo_pi_34,neo_pi_35,neo_pi_36,neo_pi_37,neo_pi_38,neo_pi_39,neo_pi_40,neo_pi_41,neo_pi_42,neo_pi_43,neo_pi_44,neo_pi_45,neo_pi_46,neo_pi_47,neo_pi_48,neo_pi_49,neo_pi_50,growth_mind_set_1,growth_mind_set_2,growth_mind_set_3,growth_mind_set_4,growth_mind_set_5,growth_mind_set_6,growth_mind_set_7,growth_mind_set_8,catch_question,catch_question_1,catch_question_2,ucmrt_1,ucmrt_2,ucmrt_3,ucmrt_4,ucmrt_5,ucmrt_6,ucmrt_7,ucmrt_8,ucmrt_9,sandia_matrices_1,sandia_matrices_2,sandia_matrices_4,sandia_matrices_5,sandia_matrices_6,sandia_matrices_7,sandia_matrices_8,sandia_matrices_9,sandia_matrices_3,grit_interest,grit_effort,adhd_1_sig,adhd_2_sig,adhd_3_sig,adhd_4_sig,adhd_5_sig,adhd_6_sig,sandia_1_correct,sandia_2_correct,sandia_3_correct,sandia_4_correct,sandia_5_correct,sandia_6_correct,sandia_7_correct,sandia_8_correct,sandia_9_correct,ucmrt_1_correct,ucmrt_2_correct,ucmrt_3_correct,ucmrt_4_correct,ucmrt_5_correct,ucmrt_6_correct,ucmrt_7_correct,ucmrt_8_correct,ucmrt_9_correct
SEP_3_0011,R_SGXP4hDmgO277Q5,Spring-2018,2018-03-08T21:02:35Z,2018,2017-2018,Spring,45,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.375,NA,NA,NA,2,3.6,4,2.7,4.1,1,4,NA,3,3,4,1,4,2,1,1,2,2,3,4,4,4,2,2,5,2,4,4,4,3,5,4,4,4,4,2,3,5,4,5,5,4,3,4,3,2,2,5,2,4,4,1,1,4,4,4,4,5,3,5,1,3,3,2,5,5,3,3,4,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.5,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0012,R_3M5VxhTkoh98dfR,Spring-2018,2018-03-09T15:30:48Z,2018,2017-2018,Spring,46,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,4,NA,NA,NA,1.4,3.4,4.9,3.5,4.5,0,2,NA,4,1,4,1,4,4,1,1,1,1,1,2,5,4,2,1,3,4,3,3,5,2,4,5,1,2,4,5,2,4,5,5,3,2,1,5,3,3,3,5,2,5,5,1,1,2,5,5,1,3,2,4,1,1,4,4,5,5,1,1,1,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0013,R_110AHgks5bEibqc,Spring-2018,2018-03-12T21:28:23Z,2018,2017-2018,Spring,49,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.75,NA,NA,NA,2.6,3.3,3.5,3.9,3.7,0,3,NA,2,2,3,1,3,2,3,2,3,3,2,3,4,3,3,2,4,4,4,2,5,4,4,3,2,4,4,4,3,1,4,4,2,4,4,3,2,3,4,4,2,4,3,1,1,2,4,4,4,4,2,4,2,3,3,3,4,4,2,2,4,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0014,R_sheYtYjE9tbSZwd,Spring-2018,2018-03-13T09:49:17Z,2018,2017-2018,Spring,49,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.125,NA,NA,NA,3.3,3,3.2,3.7,3.4,0,2,NA,3,3,4,2,4,3,2,2,2,3,3,3,3,2,4,3,2,4,4,2,4,3,4,2,4,4,4,4,3,2,2,4,4,4,4,2,4,4,5,4,4,4,4,4,2,2,4,2,1,4,2,4,3,2,4,4,4,4,1,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.75,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0015,R_1Csxd9UI5nTtybW,Spring-2018,2018-03-13T12:57:56Z,2018,2017-2018,Spring,50,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.625,NA,NA,NA,2.5,3,3.3,3.4,3.8,0,0,NA,1,1,2,1,1,2,2,1,1,1,2,3,2,2,1,1,4,4,4,1,2,2,4,4,3,3,2,3,3,4,4,3,3,3,3,3,4,4,4,4,4,4,2,2,3,2,4,3,4,3,2,2,2,2,2,2,4,4,1,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3.75,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0016,R_1f32KN0hevTlsGi,Spring-2018,2018-03-13T13:31:50Z,2018,2017-2018,Spring,50,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.625,NA,NA,NA,3.1,3,3.3,3.8,3.2,0,2,NA,2,2,2,2,2,3,2,2,3,2,2,4,3,3,4,4,2,4,4,1,4,4,4,2,4,4,4,4,4,3,3,4,4,3,4,2,2,4,4,4,3,4,4,4,3,2,4,4,2,4,2,4,2,2,3,4,4,4,2,4,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0017,R_pSFnpo6ZZ47CI93,Spring-2018,2018-03-14T11:16:10Z,2018,2017-2018,Spring,50,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.25,NA,NA,NA,1.8,4.3,4.2,3.5,4.4,0,1,NA,3,2,2,1,3,3,1,1,2,1,2,2,4,3,1,2,3,3,5,3,4,2,4,4,1,2,3,2,3,4,4,4,2,1,2,4,2,3,2,5,2,4,4,2,1,2,4,4,2,4,1,5,1,1,4,1,4,4,1,1,1,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,3.75,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0018,R_1oB9DhV79JWN6OW,Spring-2018,2018-03-14T13:57:08Z,2018,2017-2018,Spring,51,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.5,NA,NA,NA,3,3,3,3,3,0,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0019,R_2DNz53AyPHVY14e,Spring-2018,2018-03-16T14:06:52Z,2018,2017-2018,Spring,53,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.875,NA,NA,NA,3.2,1.6,3.5,3.7,3.6,0,1,NA,3,3,4,3,4,3,2,3,2,2,2,3,4,2,4,3,3,4,2,2,4,4,3,4,3,3,3,5,4,4,3,4,2,5,3,4,2,5,4,4,3,4,4,3,2,2,3,3,2,4,1,2,4,2,1,5,2,3,2,5,3,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.25,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0020,R_bEHWY0VIlzcY8uZ,Spring-2018,2018-03-10T21:14:01Z,2018,2017-2018,Spring,47,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0021,R_Uhc6JTuynXe8wN3,Spring-2018,2018-03-19T16:59:02Z,2018,2017-2018,Spring,56,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.5,NA,NA,NA,2.4,1.5,2.7,3,4,0,3,NA,3,3,3,2,1,2,2,2,2,3,3,4,3,2,2,4,5,3,1,2,4,2,3,2,4,3,2,2,1,2,2,3,4,5,3,2,3,5,4,4,1,3,3,4,2,3,1,2,3,3,2,2,2,1,1,5,5,3,1,5,2,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.75,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0022,R_3gXvdmvgw74g9pN,Spring-2018,2018-03-20T09:13:37Z,2018,2017-2018,Spring,56,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3.25,NA,NA,NA,1.9,3.4,3.5,3.9,3.7,0,0,NA,3,1,4,2,2,3,2,1,2,2,2,3,2,2,2,2,4,5,4,2,5,3,4,5,3,2,3,2,3,3,4,5,3,3,2,4,2,3,4,4,2,3,4,3,3,1,3,5,3,2,1,4,2,2,2,3,4,4,2,3,2,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0023,R_2AMcJy6kQ5Jmb6z,Spring-2018,2018-03-23T15:07:47Z,2018,2017-2018,Spring,60,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,1.375,NA,NA,NA,3.9,2.1,1.8,3.6,3.5,1,5,NA,1,3,1,3,1,1,4,3,2,5,3,5,5,5,4,5,4,4,2,5,2,4,4,1,5,5,3,4,5,1,4,3,2,4,4,1,1,4,5,4,4,2,1,5,4,3,3,1,2,4,1,4,2,2,1,5,4,2,1,5,5,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.75,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0024,R_1jxPCHyzzZSRvnv,Spring-2018,2018-03-16T23:41:09Z,2018,2017-2018,Spring,53,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,1.75,NA,NA,NA,1.9,3.1,3.5,3.4,4.7,1,4,NA,2,4,1,1,1,1,4,2,2,3,2,4,4,5,1,2,4,4,4,1,3,1,3,4,2,1,1,1,1,3,5,4,1,2,1,5,3,3,2,4,1,4,4,5,1,3,2,5,2,4,2,4,4,1,3,3,3,3,1,2,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2.25,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0025,R_bxdFNu8ri7fkmDD,Spring-2018,2018-03-21T17:04:11Z,2018,2017-2018,Spring,58,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.375,NA,NA,NA,3.5,4.3,3.5,3.7,3.1,1,5,NA,1,2,1,2,1,2,1,1,3,2,4,4,5,4,4,3,3,2,4,2,3,4,3,2,4,3,3,1,4,2,1,5,2,1,4,2,1,3,4,4,3,5,5,4,3,3,5,3,1,3,2,5,4,3,3,1,5,4,1,1,5,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,3.5,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0026,R_2y8WYQ1g2OZc1Jk,Spring-2018,2018-04-05T22:38:51Z,2018,2017-2018,Spring,73,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,2.625,NA,NA,NA,2.9,2.2,3.2,4.1,3.1,0,3,NA,3,3,3,2,2,2,2,2,3,2,5,4,2,3,3,4,4,5,2,2,5,4,4,2,4,3,3,4,2,2,2,4,2,2,4,2,1,5,3,4,2,2,5,4,4,2,2,2,2,4,1,3,2,4,4,4,3,4,1,4,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.75,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEP_3_0027,R_1l05IyWGaZzGQLf,Spring-2018,2018-04-11T20:50:07Z,2018,2017-2018,Spring,79,1/23/2018,2017-2023_Generic_Post_Survey,post-study-survey_2017-2018,3,NA,NA,NA,3.7,3.1,3.2,3.5,3.2,0,2,NA,3,2,2,1,4,3,2,3,3,2,2,4,3,3,2,2,3,4,4,1,2,3,1,1,3,4,4,3,2,2,1,2,1,1,3,2,1,3,4,3,4,4,3,2,1,4,2,4,2,3,4,2,4,3,2,2,2,2,1,4,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
