participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,Q34,Q36,Q38,Q40,Q42,Q44,Q46,Q48,Q50,Q52,Q54,Q56,Q58,Q60,Q91,Q93,Q95,Q97,Q99,Q101,Q103,Q105,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,...43
SEP_2_0018,NA,spring-2019,2019-05-01T00:00:00Z,2019,2018-2019,spring,99,2019-01-22,2,8,5,1,5,6,3,6,6,5,2,8,2,3,3,8,6,5,5,8,5,3,3,5,7,8,1,7,2,1,7,8,3,NA
SEP_2_0019,NA,spring-2019,2019-05-01T00:00:00Z,2019,2018-2019,spring,99,2019-01-22,2,8,5,7,5,6,1,6,2,2,2,7,2,3,8,5,6,3,6,1,4,6,7,5,6,8,6,7,1,7,7,5,3,NA
SEP_2_0020,NA,spring-2019,2019-05-01T00:00:00Z,2019,2018-2019,spring,99,2019-01-22,2,4,6,2,5,5,3,6,1,2,2,8,2,3,5,5,7,7,7,8,8,5,3,5,6,8,8,7,2,7,7,8,8,NA
SEP_2_0021,NA,spring-2019,2019-05-02T00:00:00Z,2019,2018-2019,spring,100,2019-01-22,2,8,5,7,5,5,7,1,7,2,2,8,2,5,7,1,2,6,6,8,8,6,7,5,6,8,1,1,1,1,1,5,3,NA
SEP_2_0022,NA,spring-2019,2019-05-03T00:00:00Z,2019,2018-2019,spring,101,2019-01-22,2,8,5,5,5,6,7,8,7,5,2,8,7,3,7,5,7,8,3,8,3,1,7,3,8,5,4,1,7,7,5,8,3,NA
SEP_2_0023,NA,spring-2019,2019-05-03T00:00:00Z,2019,2018-2019,spring,101,2019-01-22,2,8,5,8,5,4,7,4,7,2,2,7,7,2,7,1,1,4,7,1,6,5,3,3,3,8,6,7,7,1,1,1,2,NA
SEP_2_0024,NA,fall-2019,2019-09-26T00:00:00Z,2019,2019-2020,fall,22,2019-09-04,2,8,5,7,5,5,6,6,7,2,2,8,2,5,5,5,6,2,6,8,8,6,7,1,4,8,6,7,1,1,1,1,3,NA
SEP_2_0025,NA,fall-2019,2019-09-27T00:00:00Z,2019,2019-2020,fall,23,2019-09-04,2,8,5,3,5,5,1,6,7,5,2,8,2,3,6,5,6,3,6,8,8,6,3,5,7,8,1,7,4,1,7,5,3,NA
SEP_2_0026,NA,fall-2019,2019-10-03T00:00:00Z,2019,2019-2020,fall,29,2019-09-04,2,8,5,1,5,5,3,6,7,2,2,7,2,3,6,5,6,3,5,1,8,1,7,5,4,8,6,7,1,7,7,5,3,NA
SEP_2_0027,NA,fall-2019,2019-10-04T00:00:00Z,2019,2019-2020,fall,30,2019-09-04,2,8,5,7,5,6,6,6,1,2,2,8,7,5,2,8,7,7,6,2,3,3,3,5,4,8,6,7,1,7,7,5,1,NA
SEP_2_0028,NA,fall-2019,2019-10-08T00:00:00Z,2019,2019-2020,fall,34,2019-09-04,2,8,7,7,5,7,6,6,7,5,2,7,2,3,6,5,6,3,6,8,8,6,7,3,4,8,1,7,1,1,1,5,3,NA
SEP_2_0029,NA,fall-2019,2019-10-09T00:00:00Z,2019,2019-2020,fall,35,2019-09-04,2,8,5,1,5,7,4,6,2,2,2,7,2,5,6,5,6,3,6,8,8,6,3,5,4,3,6,7,7,7,7,4,3,NA
SEP_2_0030,NA,fall-2019,2019-10-10T00:00:00Z,2019,2019-2020,fall,36,2019-09-04,2,8,5,7,5,5,5,6,6,2,2,7,5,3,6,5,6,5,6,8,5,6,7,5,4,7,6,7,1,1,7,5,3,NA
SEP_2_0031,NA,fall-2019,2019-10-10T00:00:00Z,2019,2019-2020,fall,36,2019-09-04,2,8,5,4,5,6,6,6,6,5,2,1,2,2,8,1,2,6,5,8,8,6,7,1,4,3,7,1,1,7,7,1,3,NA
SEP_2_0032,NA,fall-2019,2019-10-10T00:00:00Z,2019,2019-2020,fall,36,2019-09-04,2,8,5,7,5,5,5,6,7,5,2,7,2,5,6,5,6,3,6,8,8,6,7,5,6,8,6,7,1,1,1,5,3,NA
SEP_2_0033,NA,fall-2019,2019-10-11T00:00:00Z,2019,2019-2020,fall,37,2019-09-04,2,8,5,7,5,5,5,6,7,5,2,7,2,3,6,5,6,3,6,8,8,6,3,5,4,8,6,7,1,1,1,5,3,NA
SEP_2_0034,NA,fall-2019,2019-10-17T00:00:00Z,2019,2019-2020,fall,43,2019-09-04,2,8,5,7,5,5,7,6,5,5,2,7,2,5,7,5,6,7,6,8,8,6,7,1,6,3,6,1,1,1,7,8,6,NA
SEP_2_0035,NA,fall-2019,2019-10-18T00:00:00Z,2019,2019-2020,fall,44,2019-09-04,2,8,5,1,5,8,7,1,2,2,2,8,3,4,5,5,7,2,3,8,3,5,3,5,4,6,7,8,1,1,2,5,7,NA
SEP_2_0036,NA,fall-2019,2019-10-22T00:00:00Z,2019,2019-2020,fall,48,2019-09-04,2,8,5,5,4,6,3,4,1,2,2,1,1,5,4,5,7,2,6,8,4,6,7,5,6,1,8,7,1,1,1,6,8,NA
SEP_2_0037,NA,fall-2019,2019-10-23T00:00:00Z,2019,2019-2020,fall,49,2019-09-04,2,8,5,1,5,7,5,6,3,5,2,7,2,3,8,5,6,3,6,1,5,1,3,3,4,8,6,7,1,1,7,5,3,NA
SEP_2_0038,NA,fall-2019,2019-10-24T00:00:00Z,2019,2019-2020,fall,50,2019-09-04,2,8,5,8,5,6,6,6,6,2,2,7,8,4,6,5,6,7,6,1,8,6,3,5,4,8,6,7,2,7,1,1,3,NA
SEP_2_0039,NA,fall-2019,2019-10-25T00:00:00Z,2019,2019-2020,fall,51,2019-09-04,2,8,5,5,5,6,1,6,6,2,2,8,3,3,7,5,6,6,6,8,6,6,7,8,7,3,6,7,1,7,7,1,3,NA
SEP_2_0040,NA,fall-2019,2019-10-25T00:00:00Z,2019,2019-2020,fall,51,2019-09-04,2,8,5,8,4,7,5,2,5,2,2,1,7,3,5,6,7,8,7,4,5,8,7,2,4,4,1,7,2,7,3,5,4,NA
SEP_2_0041,NA,fall-2019,2019-10-25T00:00:00Z,2019,2019-2020,fall,51,2019-09-04,2,8,5,1,5,6,4,6,7,2,2,8,1,5,5,5,6,3,6,8,8,6,3,5,3,4,6,7,1,1,7,5,1,NA
SEP_2_0042,NA,fall-2019,2019-10-29T00:00:00Z,2019,2019-2020,fall,55,2019-09-04,2,8,5,7,5,7,3,6,4,5,2,1,5,8,8,8,2,8,7,8,8,4,3,1,4,8,7,1,7,7,2,8,6,NA
SEP_2_0043,NA,fall-2019,2019-10-31T00:00:00Z,2019,2019-2020,fall,57,2019-09-04,2,8,5,4,5,5,1,6,2,5,2,7,7,5,2,5,6,3,6,8,8,6,3,1,3,6,6,7,1,1,1,5,3,NA
SEP_2_0044,NA,fall-2019,2019-10-31T00:00:00Z,2019,2019-2020,fall,57,2019-09-04,2,8,5,1,5,3,4,8,4,5,3,6,5,7,6,1,7,2,3,3,4,4,5,1,3,7,6,8,5,4,5,5,6,NA
SEP_2_0045,NA,fall-2019,2019-11-01T00:00:00Z,2019,2019-2020,fall,58,2019-09-04,2,8,5,1,5,4,6,6,1,2,2,7,4,6,7,5,6,5,6,5,8,5,3,3,6,8,6,7,2,5,7,1,1,NA
SEP_2_0046,NA,fall-2019,2019-11-01T00:00:00Z,2019,2019-2020,fall,58,2019-09-04,2,8,5,7,5,5,6,1,2,2,2,7,2,4,6,5,6,7,6,8,8,6,7,5,6,8,6,7,7,1,7,1,1,NA
SEP_2_0047,NA,fall-2019,2019-11-01T00:00:00Z,2019,2019-2020,fall,58,2019-09-04,2,8,5,4,5,5,4,1,1,2,2,7,6,5,8,5,1,2,3,1,4,6,7,1,4,2,6,7,2,7,3,5,6,NA
SEP_2_0048,NA,fall-2019,2019-11-05T00:00:00Z,2019,2019-2020,fall,62,2019-09-04,2,8,5,3,5,4,6,6,4,5,1,7,4,5,1,1,6,3,6,7,8,3,3,5,7,7,3,7,1,7,3,5,3,NA
SEP_2_0049,NA,fall-2019,2019-11-06T00:00:00Z,2019,2019-2020,fall,63,2019-09-04,2,8,5,8,5,4,7,6,6,2,2,7,2,7,6,8,4,1,5,7,8,6,3,1,7,6,4,7,1,1,7,6,2,NA
SEP_2_0050,NA,fall-2019,2019-11-07T00:00:00Z,2019,2019-2020,fall,64,2019-09-04,2,8,5,6,5,4,6,6,7,1,2,1,2,3,6,5,6,7,6,8,8,1,7,5,6,7,6,1,2,7,1,5,3,NA
SEP_2_0051,NA,fall-2019,2019-11-07T00:00:00Z,2019,2019-2020,fall,64,2019-09-04,2,8,5,4,5,4,5,4,4,2,2,1,7,4,3,1,7,7,5,7,6,7,3,1,6,5,7,8,1,7,3,5,8,NA
SEP_2_0052,NA,fall-2019,2019-11-08T00:00:00Z,2019,2019-2020,fall,65,2019-09-04,2,3,3,4,7,4,7,7,2,2,3,2,8,4,6,5,5,3,5,7,4,6,7,1,6,7,2,2,2,7,8,3,8,NA
SEP_2_0053,NA,fall-2019,2019-11-08T00:00:00Z,2019,2019-2020,fall,65,2019-09-04,2,8,5,5,5,6,1,1,4,2,2,7,6,3,5,5,7,5,6,7,8,6,3,3,6,6,7,7,1,7,7,6,3,NA
SEP_2_0054,NA,fall-2019,2019-11-08T00:00:00Z,2019,2019-2020,fall,65,2019-09-04,2,8,5,5,5,5,8,6,4,1,2,1,5,5,8,8,3,1,6,8,4,6,3,1,4,4,7,7,7,7,7,6,3,NA
SEP_2_0055,NA,fall-2019,2019-11-08T00:00:00Z,2019,2019-2020,fall,65,2019-09-04,2,8,5,7,5,1,5,6,7,5,2,7,2,4,6,5,8,3,6,8,8,6,7,5,6,8,6,7,1,1,1,5,3,NA
SEP_2_0056,NA,fall-2019,2019-11-12T00:00:00Z,2019,2019-2020,fall,69,2019-09-04,2,8,5,7,5,5,5,6,7,2,2,7,2,3,3,5,6,7,3,8,5,6,7,5,6,8,6,7,1,1,2,1,6,NA
SEP_2_0057,NA,fall-2019,2019-11-13T00:00:00Z,2019,2019-2020,fall,70,2019-09-04,2,8,5,7,5,4,6,6,7,2,2,1,2,3,8,5,6,3,6,8,3,6,7,5,4,3,6,7,1,7,7,5,3,NA
SEP_2_0058,NA,fall-2019,2019-11-15T00:00:00Z,2019,2019-2020,fall,72,2019-09-04,2,8,4,7,1,5,1,6,6,2,2,7,3,8,3,5,4,6,5,3,2,7,8,3,1,7,4,6,4,3,7,6,4,NA
SEP_2_0059,NA,fall-2019,2019-11-15T00:00:00Z,2019,2019-2020,fall,72,2019-09-04,2,8,5,1,5,2,4,6,8,2,2,7,7,4,3,8,2,2,3,8,5,1,3,1,4,7,7,8,2,7,7,6,6,NA
SEP_2_0060,NA,fall-2019,2019-11-22T00:00:00Z,2019,2019-2020,fall,79,2019-09-04,2,8,5,7,5,6,1,6,2,2,2,7,3,4,7,8,6,2,8,2,4,6,7,3,7,3,2,7,1,7,7,8,7,NA
SEP_2_0061,60867,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,7,4,5,3,7,4,2,8,3,6,2,1,5,7,NA,3,6,4,8,5,6,2,5,1,8,3,3,6,4,4,NA
SEP_2_0062,60158,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,4,5,7,5,2,4,7,5,5,5,4,7,3,1,4,5,NA,2,1,5,7,8,2,4,2,8,5,2,3,6,1,6,NA
SEP_2_0063,60361,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,2,4,5,6,2,6,3,2,2,7,3,5,5,5,3,NA,6,8,3,8,7,8,4,2,6,7,1,7,3,2,6,NA
SEP_2_0064,60063,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,6,8,7,7,8,7,5,7,7,7,7,8,5,7,4,6,NA,8,4,5,2,8,8,8,6,7,8,3,8,7,8,7,NA
SEP_2_0065,59801,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,8,7,5,4,3,5,6,5,2,8,2,3,7,5,6,NA,6,1,8,6,7,5,7,8,6,7,1,1,1,1,2,NA
SEP_2_0066,60589,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,3,5,5,5,6,8,2,2,7,8,3,3,1,6,NA,6,1,5,6,3,3,4,2,4,7,1,1,2,1,5,NA
SEP_2_0067,60604,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,8,4,7,7,8,4,8,6,8,5,4,7,8,6,NA,2,8,3,4,3,3,4,7,6,7,2,7,3,8,3,NA
SEP_2_0068,61057,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,7,5,2,1,6,7,2,2,8,4,1,8,5,6,NA,3,8,5,1,7,1,4,4,6,7,1,1,2,5,6,NA
SEP_2_0069,59775,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,4,5,6,2,1,6,5,8,8,7,2,7,4,2,NA,7,8,8,1,3,3,4,8,1,8,8,7,3,4,8,NA
SEP_2_0070,59602,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,4,5,7,1,8,6,2,8,8,2,3,2,1,7,NA,4,1,1,1,3,1,5,3,6,7,7,2,3,5,6,NA
SEP_2_0071,60177,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,7,5,7,5,6,4,6,2,7,2,5,5,1,1,NA,2,8,3,5,3,5,7,6,6,7,7,7,7,6,4,NA
SEP_2_0072,60743,fall-2018,2018-12-07T00:00:00Z,2019,2018-2019,fall,93,2018-09-05,2,8,5,2,5,5,6,6,7,5,2,7,2,5,6,1,6,NA,5,8,4,6,3,1,4,8,6,7,2,1,7,5,3,NA
SEP_2_0073,59437,fall-2018,2018-12-09T00:00:00Z,2019,2018-2019,fall,95,2018-09-05,2,8,5,7,5,6,6,6,7,2,2,7,2,3,6,5,6,NA,6,8,5,6,7,5,4,8,6,1,1,1,7,1,3,NA
SEP_2_0074,61047,fall-2018,2018-12-09T00:00:00Z,2019,2018-2019,fall,95,2018-09-05,2,8,5,7,5,5,3,6,7,5,2,8,2,2,6,8,7,NA,1,4,4,8,8,1,7,7,1,3,2,4,5,8,2,NA
SEP_2_0075,61281,fall-2018,2018-12-09T00:00:00Z,2019,2018-2019,fall,95,2018-09-05,2,8,4,7,5,7,5,6,4,2,2,7,4,5,5,5,5,NA,6,1,3,6,7,5,6,4,6,7,1,7,5,1,1,NA
SEP_2_0076,60547,fall-2018,2018-12-09T00:00:00Z,2019,2018-2019,fall,95,2018-09-05,2,8,5,1,5,5,1,6,1,6,2,8,2,5,5,1,6,NA,6,1,3,4,3,3,7,7,7,7,7,7,2,8,8,NA
SEP_2_0077,60660,fall-2018,2018-12-09T00:00:00Z,2019,2018-2019,fall,95,2018-09-05,2,8,5,7,5,5,7,6,8,5,2,7,5,4,8,5,6,NA,5,8,3,6,3,3,4,7,6,7,1,7,7,2,3,NA
SEP_2_0078,60312,fall-2018,2018-12-09T00:00:00Z,2019,2018-2019,fall,95,2018-09-05,2,8,5,7,5,5,1,6,6,2,2,8,2,3,5,5,6,NA,6,8,8,6,3,3,6,7,7,7,1,1,3,3,6,NA
SEP_2_0079,61158,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,2,5,6,7,6,8,4,2,8,2,8,3,2,8,NA,3,4,3,1,7,3,4,7,6,7,1,7,1,3,2,NA
SEP_2_0080,59583,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,3,2,4,4,5,5,3,5,6,3,4,2,4,2,6,5,NA,1,5,6,7,4,7,4,7,6,5,3,3,7,7,4,NA
SEP_2_0081,60534,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,1,4,7,3,8,2,5,6,1,7,4,8,3,7,NA,1,7,2,8,1,4,6,4,2,5,3,1,8,5,2,NA
SEP_2_0082,60528,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,7,5,1,6,6,6,5,2,7,2,3,7,5,6,NA,4,7,4,6,3,5,4,1,6,7,1,7,7,8,3,NA
SEP_2_0083,60751,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,4,5,5,3,6,4,5,8,8,2,3,5,8,5,NA,4,8,5,6,3,3,6,4,1,7,2,7,7,3,6,NA
SEP_2_0084,60123,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,4,5,5,1,6,8,6,3,5,8,2,3,5,4,5,6,NA,8,8,3,5,8,3,2,7,3,1,8,5,4,2,7,NA
SEP_2_0085,59817,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,4,5,6,6,6,4,8,2,1,3,7,8,1,7,NA,6,8,3,6,3,5,6,1,1,6,2,7,7,5,8,NA
SEP_2_0086,60199,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,7,5,6,2,6,5,2,2,7,2,3,7,5,6,NA,3,8,8,6,3,5,4,8,6,7,7,1,7,5,3,NA
SEP_2_0087,60798,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,5,5,7,4,6,6,2,2,8,5,5,7,5,6,NA,6,8,7,6,7,5,4,3,8,7,2,1,7,5,6,NA
SEP_2_0088,60010,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,3,5,7,6,6,3,1,2,8,2,3,6,5,6,NA,6,3,3,7,3,1,1,3,4,1,2,8,3,7,5,NA
SEP_2_0089,59505,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,7,5,6,3,6,1,4,2,7,5,3,7,5,6,NA,6,8,3,3,3,5,6,6,3,7,1,1,7,8,8,NA
SEP_2_0090,60550,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,7,5,1,2,5,1,5,2,7,4,8,3,8,7,NA,3,5,7,3,1,1,6,6,8,6,1,5,8,3,3,NA
SEP_2_0091,59693,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,6,5,1,5,7,3,6,4,2,2,8,3,4,5,5,7,NA,4,1,4,3,3,1,6,7,4,8,1,4,7,7,2,NA
SEP_2_0092,60299,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,5,5,1,2,5,1,6,4,5,2,7,4,8,7,1,2,NA,3,7,8,6,8,3,6,4,8,8,7,7,1,5,8,NA
SEP_2_0093,59316,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,3,5,1,6,6,6,2,2,8,2,5,8,5,6,NA,6,1,8,6,3,1,4,8,6,7,1,1,1,5,3,NA
SEP_2_0094,59774,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,4,5,6,4,6,1,2,2,7,3,4,5,1,2,NA,3,8,5,6,7,5,4,8,7,7,1,7,7,3,3,NA
SEP_2_0095,59384,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,6,4,2,1,8,8,1,2,8,2,5,6,8,6,NA,2,8,5,3,7,1,7,8,1,7,2,7,6,3,6,NA
SEP_2_0096,60557,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,6,8,8,7,5,7,8,8,3,5,2,2,3,5,5,2,NA,7,6,5,8,3,8,8,3,4,8,8,1,7,5,1,NA
SEP_2_0097,59546,fall-2018,2018-12-11T00:00:00Z,2019,2018-2019,fall,97,2018-09-05,2,8,5,5,5,5,6,6,6,2,2,7,2,3,6,5,8,NA,6,8,8,6,7,5,6,8,6,7,1,1,7,5,3,NA
SEP_2_0098,62560,spring-2019,2019-01-28T00:00:00Z,2019,2018-2019,spring,6,2019-01-22,2,8,5,7,5,6,1,6,7,2,2,7,4,2,6,5,6,NA,5,8,5,6,7,5,7,7,6,7,1,1,1,3,3,NA
SEP_2_0099,62683,spring-2019,2019-01-28T00:00:00Z,2019,2018-2019,spring,6,2019-01-22,2,8,5,7,5,5,8,8,7,2,2,7,7,3,6,5,6,NA,6,8,8,6,7,5,6,8,3,7,1,1,1,5,6,NA
SEP_2_0100,62502,spring-2019,2019-01-28T00:00:00Z,2019,2018-2019,spring,6,2019-01-22,2,8,5,4,5,6,7,6,4,2,2,7,6,3,6,2,1,NA,5,8,5,6,7,1,7,8,5,7,1,7,7,5,4,NA
SEP_2_0101,62488,spring-2019,2019-01-28T00:00:00Z,2019,2018-2019,spring,6,2019-01-22,2,8,5,3,5,7,6,5,5,3,2,1,2,3,7,8,4,NA,3,8,3,3,1,5,3,1,8,7,6,8,7,8,8,NA
SEP_2_0102,61792,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,5,4,5,5,3,6,1,2,2,7,6,2,3,1,1,NA,8,1,4,1,3,3,7,4,6,8,1,7,7,3,2,NA
SEP_2_0103,62132,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,7,5,7,5,5,5,6,7,5,2,7,2,5,6,5,6,NA,3,1,8,6,7,5,4,8,6,7,1,1,7,5,3,NA
SEP_2_0104,62932,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,5,7,5,5,5,6,4,7,5,7,2,3,2,5,6,NA,3,5,3,6,7,1,4,8,6,7,1,1,1,1,4,NA
SEP_2_0105,62016,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,5,4,6,7,1,6,7,1,6,8,4,3,8,5,1,NA,6,1,3,6,3,5,3,7,7,7,2,7,7,7,6,NA
SEP_2_0106,62066,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,5,7,5,6,1,6,4,2,2,7,6,3,1,5,6,NA,5,8,4,6,7,5,4,2,3,7,1,7,7,1,6,NA
SEP_2_0107,62479,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,7,2,5,7,1,8,7,2,2,8,7,2,7,5,6,NA,7,7,4,8,3,3,3,4,1,7,2,7,1,8,3,NA
SEP_2_0108,61787,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,5,5,5,5,5,6,6,2,2,8,5,4,4,1,6,NA,2,8,5,3,7,5,4,3,6,5,7,4,3,3,7,NA
SEP_2_0109,62426,spring-2019,2019-01-29T00:00:00Z,2019,2018-2019,spring,7,2019-01-22,2,8,5,2,5,7,6,6,7,2,2,7,2,5,1,7,6,NA,5,8,8,6,3,5,4,8,7,7,1,1,7,5,3,NA
SEP_2_0110,61794,spring-2019,2019-01-30T00:00:00Z,2019,2018-2019,spring,8,2019-01-22,2,8,5,7,5,6,6,6,7,2,2,7,2,4,6,5,6,NA,5,8,8,6,3,3,7,8,6,7,1,1,1,1,3,NA
