participant_id,date,participant_id_dataset,grit_1,grit_2,grit_3,grit_4,grit_5,catch_question,grit_6,grit_7,grit_8,adhd_1,adhd_2,adhd_3,adhd_4,adhd_5,adhd_6,neo_pi_1,neo_pi_2,neo_pi_3,neo_pi_4,neo_pi_5,neo_pi_6,neo_pi_7,neo_pi_8,neo_pi_9,neo_pi_10,neo_pi_11,neo_pi_12,neo_pi_13,neo_pi_14,neo_pi_15,neo_pi_16,neo_pi_17,neo_pi_18,catch_question_1,neo_pi_19,neo_pi_20,neo_pi_21,neo_pi_22,neo_pi_23,neo_pi_24,neo_pi_25,neo_pi_26,neo_pi_27,neo_pi_28,neo_pi_29,neo_pi_30,neo_pi_31,neo_pi_32,neo_pi_33,neo_pi_34,neo_pi_35,neo_pi_36,neo_pi_37,catch_question_2,neo_pi_38,neo_pi_39,neo_pi_40,neo_pi_41,neo_pi_42,neo_pi_43,neo_pi_44,neo_pi_45,neo_pi_46,neo_pi_47,neo_pi_48,neo_pi_49,neo_pi_50,growth_mind_set_1,growth_mind_set_2,growth_mind_set_3,growth_mind_set_4,growth_mind_set_5,growth_mind_set_6,growth_mind_set_7,growth_mind_set_8,ucmrt_1,ucmrt_2,ucmrt_3,ucmrt_4,ucmrt_5,ucmrt_6,ucmrt_7,ucmrt_8,ucmrt_9,sandia_matrices_1,sandia_matrices_2,sandia_matrices_4,sandia_matrices_5,sandia_matrices_6,sandia_matrices_7,sandia_matrices_8,sandia_matrices_9,sandia_matrices_3
61377,2018-11-01T16:54:20Z,R_2TNJXW3aHFnvXIr,3,1,3,2,2,1,3,2,3,2,2,2,2,2,2,2,2,4,2,4,2,4,3,4,3,2,2,3,4,3,4,4,3,5,4,2,4,2,3,2,3,4,4,2,2,4,3,4,3,1,2,4,4,2,4,1,1,4,2,4,4,1,3,2,4,2,2,8,9,8,10,10,8,8,9,5,2,1,4,2,4,8,4,1,8,4,2,6,3,5,3,6,7
60094,2018-11-01T17:02:09Z,R_3D6jpC0G6YS1nWN,1,1,4,1,4,3,4,1,1,1,1,2,2,5,4,1,1,3,2,5,1,5,1,5,4,1,1,4,4,1,5,4,5,5,1,2,1,2,1,4,5,5,1,5,5,1,1,2,4,5,1,4,3,2,5,1,1,4,4,5,5,1,1,1,5,3,3,11,6,11,7,11,8,11,7,5,5,7,1,1,4,6,6,3,8,5,5,4,7,1,3,1,2
60530,2018-11-02T13:35:19Z,R_2DYzosjeVLH8mNs,3,2,3,1,2,4,3,2,3,2,2,2,4,2,3,2,2,3,2,4,4,3,3,4,5,2,3,3,4,2,2,4,4,5,2,2,2,5,2,3,2,4,1,4,3,2,2,3,4,5,3,4,4,4,4,1,2,5,2,4,3,2,2,1,4,3,2,11,7,11,7,11,7,11,7,5,7,6,2,1,4,2,4,5,8,4,8,6,5,8,3,3,5
60045,2018-11-29T17:40:11Z,R_9StxLYvAEqL8EhP,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,4,4,3,3,4,2,3,3,4,3,3,3,3,2,2,3,4,3,3,3,3,3,3,4,2,3,3,3,3,3,2,3,4,3,3,4,3,3,9,9,9,9,9,9,9,9,7,5,4,2,3,6,6,6,3,8,2,6,3,3,8,7,2,5
59703,2018-12-03T04:48:35Z,R_3qvAeJza3VVoLhD,1,1,1,1,2,1,3,4,4,2,3,1,4,3,3,2,5,5,4,5,5,5,4,5,4,4,5,5,1,2,3,4,5,5,1,1,4,5,2,1,5,5,1,3,5,5,4,2,5,5,1,5,2,2,5,1,5,3,2,5,5,3,1,1,5,5,3,6,7,6,8,7,9,6,8,4,6,8,2,4,6,2,6,1,8,5,7,3,5,7,8,7,2
NA,2018-12-06T13:09:38Z,R_1H8DKHmH2Q0JB4M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61758,2019-02-13T00:02:28Z,R_3OpsQDhIW2ZDO4v,4,4,4,1,3,4,4,1,1,2,2,2,2,2,2,4,3,4,1,4,1,4,2,3,2,2,2,3,3,4,4,3,4,4,5,1,3,2,4,5,2,4,4,5,5,4,2,5,3,2,2,3,4,2,4,2,2,5,2,3,4,2,3,4,4,1,1,10,8,8,8,8,8,9,8,5,6,3,2,4,6,5,2,7,8,4,6,4,5,4,4,4,5
61942,2019-02-13T08:59:43Z,R_2ScvL7P7BQlxYT6,3,1,3,1,3,4,2,2,1,3,4,1,3,5,2,1,3,4,5,4,2,4,1,4,2,2,4,5,1,1,5,5,5,5,4,1,1,4,1,4,5,5,1,4,5,2,1,1,5,4,2,5,1,4,5,1,1,4,2,5,4,1,1,2,5,4,1,11,7,11,7,11,7,11,7,5,3,5,2,1,8,1,6,5,8,3,5,6,5,7,5,5,5
62079,2019-02-13T17:08:18Z,R_Rk0Spjo3LkMOUGB,3,3,3,3,3,4,2,1,3,2,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,8,10,9,9,9,5,4,4,5,6,3,3,6,4,4,4,3,5,4,6,2,6,5
62852,2019-02-17T16:37:14Z,R_2S9mH3eD37v6ZNM,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,8,8,8,8,8,8,8,1,3,5,4,6,6,4,7,7,5,7,7,6,3,6,4,5,8
61807,2019-02-18T10:40:14Z,R_BV55PsiiGu5BeSJ,1,4,3,3,3,3,3,2,2,3,3,3,4,3,4,2,4,1,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,3,3,3,2,3,3,3,2,4,3,4,3,3,3,3,3,3,2,3,3,2,3,4,3,3,3,2,3,4,3,4,2,3,9,9,10,9,9,9,10,9,5,2,7,2,1,3,1,6,7,8,7,6,6,2,7,5,7,5
61965,2019-02-18T15:55:50Z,R_URvBqyV2QUz64ud,3,3,3,3,3,4,3,3,3,2,2,2,5,3,2,4,4,4,2,5,3,3,3,2,2,4,4,4,2,4,1,4,4,5,1,4,2,2,2,5,4,4,4,2,2,4,2,1,4,2,2,4,4,4,4,4,2,4,4,4,4,1,4,2,5,4,3,10,8,8,9,8,8,8,8,8,7,5,2,8,6,2,1,5,8,7,7,8,2,7,5,8,5
61952,2019-02-18T16:32:42Z,R_2Y5sVmapuhxLukZ,4,2,1,3,2,2,2,2,2,2,3,5,4,5,1,4,4,2,4,2,4,2,2,1,2,5,3,2,3,4,2,5,5,5,1,3,2,4,2,3,4,4,4,3,3,4,1,3,3,2,3,4,1,2,5,4,2,2,2,2,2,2,3,4,5,1,3,12,7,11,6,11,7,11,6,8,3,6,2,1,8,5,5,6,8,1,6,6,5,8,6,6,5
NA,2019-02-12T12:27:30Z,R_2V88mWSpXJSOlWN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61752,2019-02-21T15:10:51Z,R_3kuJBMiSA04W7Kr,2,3,2,3,1,4,3,2,2,3,4,2,3,4,4,2,3,2,5,3,2,2,3,3,3,5,4,3,4,2,3,4,3,5,3,2,4,3,2,5,5,3,1,3,5,5,2,2,4,4,1,4,1,4,3,3,3,4,3,3,2,1,2,2,4,2,3,8,8,7,8,7,8,8,8,7,7,6,3,8,4,6,6,5,8,5,6,5,2,2,4,7,4
62250,2019-02-18T12:45:00Z,R_1nUU7HtFlc4VBjv,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,3,3,3,3,2,4,3,1,2,3,2,1,2,4,2,3,2,2,4,3,5,1,3,2,3,2,4,4,4,3,3,4,4,3,3,2,1,3,4,2,2,2,3,3,2,4,4,3,3,4,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA,5
62116,2019-03-04T00:05:06Z,R_1du96tOW5X3kFC8,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,3,4,4,4,4,2,2,3,3,3,4,4,2,4,4,4,3,4,4,4,3,4,4,4,5,3,3,2,2,4,4,3,2,3,4,5,3,9,9,8,8,9,8,8,9,5,5,5,2,1,8,1,6,5,8,1,7,6,5,7,7,8,5
62448,2019-03-05T20:42:19Z,R_DnPI1EfhSAsS4w1,2,3,3,2,2,4,2,1,1,1,2,1,4,5,4,2,4,4,2,2,4,5,4,4,2,4,2,4,2,2,5,4,4,5,2,4,2,4,2,5,5,4,2,5,5,4,1,2,4,4,2,4,2,1,4,2,2,4,4,4,5,2,4,2,5,2,2,11,7,11,7,7,7,11,7,5,7,6,2,1,8,1,6,7,8,5,6,8,5,7,5,6,5
61892,2019-03-06T08:52:38Z,R_3EFsF9Rmnm9WMQm,3,3,3,3,3,3,3,3,3,1,2,2,1,4,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,3,3,3,2,3,1,3,4,3,3,3,3,3,3,3,3,3,9,9,9,9,9,10,9,10,8,4,4,6,7,8,7,2,6,8,3,3,4,2,6,8,6,6
61920,2019-03-07T10:25:03Z,R_Xnfa0wNPaLqOwb7,3,3,4,1,3,4,3,2,1,2,2,3,3,4,4,2,2,5,3,5,3,4,3,4,3,4,4,3,2,2,3,4,5,5,3,2,3,3,3,2,5,5,1,3,4,3,2,3,5,5,3,5,2,1,5,2,2,3,1,4,4,2,1,2,5,4,3,10,8,9,8,10,7,10,8,5,7,6,2,1,5,1,6,5,8,7,5,6,5,8,3,5,5
61666,2019-03-07T13:12:54Z,R_2XdinZ1fipKZGG7,3,3,2,3,2,4,2,3,3,2,1,1,4,1,4,2,2,3,2,4,1,2,4,3,3,2,2,2,3,2,2,2,4,5,2,2,4,3,3,4,2,3,2,4,4,4,2,1,4,4,3,4,2,4,4,1,2,3,2,5,4,3,2,1,4,3,3,11,7,11,7,11,7,11,7,8,7,6,2,1,6,2,6,7,8,7,4,6,2,7,4,2,5
61738,2019-03-13T21:57:46Z,R_3PyQC9UKKNvXBy8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2019-03-15T09:44:49Z,R_2BlZN01Ge3Gn4zF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61909,2019-04-07T20:57:44Z,R_3LYHoXwkmjD9Nz3,3,3,3,3,3,3,3,3,3,2,2,2,4,5,2,3,2,4,4,4,2,4,2,3,3,3,2,4,3,2,3,4,4,5,2,2,3,4,2,4,2,4,2,3,4,3,1,2,4,3,2,4,2,2,4,2,2,3,2,4,4,1,3,3,4,2,2,11,7,11,7,10,7,11,7,5,7,5,4,1,4,8,6,4,8,1,1,6,6,8,3,5,5
62537,2019-04-10T18:52:13Z,R_O7ltIUIsbL82d7H,2,2,3,2,2,3,2,2,3,3,3,3,4,2,2,3,4,2,3,4,2,3,4,3,3,4,2,3,3,4,3,3,4,3,4,2,4,3,3,3,2,4,3,3,4,4,3,4,3,3,4,4,3,3,3,4,4,5,5,4,3,3,4,4,3,3,4,9,9,9,10,8,10,10,8,6,8,6,8,5,7,2,6,5,6,4,5,1,6,7,5,6,7
61975,2019-04-16T20:36:09Z,R_YWWutki8GVPCS8V,3,3,4,2,4,4,4,2,2,2,2,1,3,3,2,3,4,4,3,2,2,3,3,3,3,2,3,3,4,2,3,4,4,5,1,2,4,3,2,4,2,5,4,3,3,1,2,2,3,2,2,4,2,4,3,3,1,4,3,3,2,2,4,4,5,3,2,11,8,10,7,10,8,9,8,5,7,1,2,1,8,1,6,4,8,3,1,6,2,7,5,2,5
62592,2019-04-24T11:22:02Z,R_3oXXWImo39mxa16,3,4,3,1,1,3,2,3,3,3,3,3,3,5,2,2,2,4,4,4,1,4,4,3,1,3,5,5,2,3,4,5,5,5,3,2,4,1,3,5,3,5,2,3,3,3,4,3,3,2,2,4,2,2,4,3,3,3,2,3,4,2,4,5,5,3,3,9,9,9,9,9,9,9,9,5,7,3,4,7,6,8,6,5,8,1,7,5,2,4,2,5,4
62027,2019-04-25T16:44:38Z,R_88618COmD4DGejL,4,4,4,4,3,2,3,2,2,4,4,4,4,4,5,5,3,4,4,4,4,3,5,4,5,5,5,4,4,5,4,5,5,4,5,5,5,4,5,5,5,4,4,3,5,4,5,4,5,5,3,5,4,5,5,2,1,4,2,2,5,5,2,2,5,5,2,7,11,10,9,8,11,10,8,4,5,8,3,1,6,7,8,7,5,5,6,8,8,3,4,5,2
62738,2019-04-26T11:27:14Z,R_54L70mMPQSLbICB,3,2,3,2,3,3,3,2,3,3,3,3,4,3,3,4,3,2,2,2,4,4,4,4,2,4,2,3,4,4,2,3,4,5,2,3,4,2,2,3,2,4,2,2,2,4,3,4,3,2,3,3,3,2,4,2,3,3,3,4,3,3,3,2,3,2,3,9,9,9,9,9,9,9,9,5,6,5,6,1,8,1,1,2,8,6,8,4,2,3,8,8,3
62239,2019-05-03T12:19:25Z,R_2EiCc8nfcO6M9ni,2,3,3,1,3,4,4,3,4,2,3,2,3,1,2,2,3,2,2,3,4,4,3,3,3,2,3,3,2,2,3,2,2,3,1,2,4,3,3,4,2,3,4,5,1,2,3,3,3,2,4,3,2,3,2,1,2,2,3,2,4,4,4,4,3,4,3,9,9,9,10,8,9,7,9,6,3,3,5,8,4,6,1,3,6,5,7,3,2,5,3,2,6
NA,2019-04-29T13:36:48Z,R_vlahRepxNRvnn2N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61963,2019-05-02T12:01:06Z,R_2rB1FFVZDhc451o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65111,2019-09-18T17:15:32Z,R_2wb3LYKGsaMdaSv,4,3,3,2,3,3,2,2,3,4,4,2,4,2,4,1,4,2,4,3,3,2,4,4,4,3,4,4,4,2,4,2,2,4,4,2,4,2,4,2,4,4,4,2,2,4,1,2,2,4,2,4,2,4,2,2,2,2,2,4,2,1,2,2,4,4,4,8,8,10,10,8,8,10,10,5,7,6,5,3,6,8,7,7,8,7,6,2,7,3,3,5,5
63424,2019-09-23T13:53:40Z,R_1jjmbXW30YL9V8K,2,4,3,2,2,2,2,3,3,3,4,5,5,5,3,2,4,3,4,4,3,2,4,3,2,4,2,4,2,4,2,2,4,5,2,2,5,2,2,2,4,5,1,4,2,4,2,2,4,4,4,5,1,2,4,1,1,4,2,3,2,1,2,4,5,2,2,8,7,7,7,7,8,7,8,5,7,6,2,1,5,1,1,5,8,7,5,6,2,7,6,5,5
64725,2019-09-26T16:42:53Z,R_3IbCKhPWg2DxFDy,2,3,2,3,3,3,2,2,3,3,3,4,3,4,2,4,2,4,3,4,4,3,3,3,3,2,3,3,4,4,3,3,2,2,3,4,2,3,2,3,2,2,3,4,4,4,3,3,2,3,3,3,2,4,4,3,2,2,3,4,2,3,4,4,3,3,3,7,7,8,8,7,8,10,8,5,7,7,2,1,6,5,6,5,8,7,6,8,5,1,6,8,4
64107,2019-10-02T07:32:31Z,R_3MPQfsVgRwzKoJi,2,3,2,2,3,4,2,1,1,3,4,2,3,3,4,2,2,3,4,4,2,4,3,3,2,4,3,2,2,3,4,2,5,4,3,2,4,4,3,3,3,3,2,2,3,3,4,3,3,4,2,3,3,4,4,2,3,2,2,3,3,4,3,3,4,4,3,10,9,8,9,8,9,9,10,5,7,6,2,1,4,2,6,4,8,3,6,6,2,7,2,4,5
63807,2019-10-03T17:30:34Z,R_1Qi9R4uR3iwqvqC,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,5,7,5,2,6,8,2,6,4,8,7,6,4,5,7,5,6,5
63505,2019-10-03T20:42:35Z,R_3lDHc6ULHFwjx1L,3,1,3,1,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,4,3,2,3,3,8,8,8,8,5,6,6,6,8
64222,2019-09-27T13:43:18Z,R_3sAGevU5BI0ZwmY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63814,2019-09-27T16:41:21Z,R_OJNTpXHsq4lO1vr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65202,2019-10-04T17:54:09Z,R_2xLucFrafMob8e5,3,2,3,1,4,4,4,1,1,2,3,1,2,2,3,1,2,4,3,4,4,5,1,5,3,1,2,3,3,2,4,4,4,5,4,2,2,3,2,4,4,5,1,5,4,2,1,3,4,4,1,4,4,4,4,1,1,4,2,4,5,1,3,4,5,2,1,9,8,10,8,10,9,10,8,2,7,6,8,1,3,2,6,5,8,7,4,6,5,6,5,5,5
65230,2019-09-27T23:12:57Z,R_2R4BIRsdL0Zhbgm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
