participant_id,semester_phase,participant_id_dataset,semester_id,date,year,academic_year,semester,first_day_of_the_semester,dataset_of_origin,source,grit_overall,grit_interest,grit_effort,matrices_hit_rate,ucmrt_hit_rate,sandia_matrices_hit_rate,neuroticism_score,extraversion_score,conscientiousness_score,openness_score,agreeableness_score,adhd_clinical,adhd_total,growth_mindset_score
sep_3_0148,end,r_11yqjty3tltfry8,spring_2019,2019-04-10T17:04:26Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.625,2.75,2.5,0.611111111,0.666666667,0.555555556,2.2,4.2,3.3,3,3.7,no,3,5
sep_3_0152,end,r_xf7xhnaf3cneo8x,spring_2019,2019-04-18T17:39:56Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.375,2.5,2.25,0.5,0.777777778,0.222222222,3.8,2.4,3.2,4.3,4.1,no,3,5.125
sep_3_0153,end,r_31hedvrcuh854kf,spring_2019,2019-04-20T20:32:52Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.25,3,3.5,0.444444444,0.444444444,0.444444444,2.3,3.3,3.7,3.4,3.7,no,1,4.75
sep_3_0154,end,r_tqk4pvb1atwd3bp,spring_2019,2019-04-22T19:27:20Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.625,2,3.25,0.666666667,0.666666667,0.666666667,4,1.8,3.4,3.5,4.1,no,2,5.75
sep_3_0155,end,r_2wniarkbr67bdeq,spring_2019,2019-04-23T09:43:22Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3,2.5,3.5,0.333333333,0.444444444,0.222222222,2.7,4.1,3.3,2.7,3.2,yes,4,3.5
sep_3_0156,end,r_27mxleoe8snhcpl,spring_2019,2019-04-23T12:18:32Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.875,2.75,3,0.5,0.555555556,0.444444444,2.5,2.7,4,2.9,4,yes,6,7
sep_3_0157,end,r_z6chbpojdb3pstb,spring_2019,2019-04-24T19:27:06Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.125,2,2.25,0.388888889,0.333333333,0.444444444,3.5,3.8,2.2,3.2,3.5,yes,5,4.5
sep_3_0158,end,r_9wzy1cybocdc6sr,spring_2019,2019-04-26T16:23:15Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.625,3.25,4,0.611111111,0.777777778,0.444444444,1.5,3.1,4.6,3.3,3.8,no,0,6.75
sep_3_0159,end,r_1fc4a0ttk4eaazn,spring_2019,2019-04-28T15:16:19Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.5,2,3,0.222222222,0.222222222,0.222222222,2.1,4.7,3.6,3.2,4,no,3,6
sep_3_0160,end,r_v2preebvdmyvumd,spring_2019,2019-04-29T16:42:46Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.375,2.75,2,0.944444444,0.888888889,1,4.2,4.2,2.9,3.1,3.1,yes,4,3
sep_3_0161,end,r_3hyg2ikupncnayg,spring_2019,2019-04-30T15:22:53Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.125,3.25,3,0.611111111,0.666666667,0.555555556,2.7,3.1,3.4,4.2,3.8,no,3,5
sep_3_0163,end,r_zpyihhntzxc1rid,spring_2019,2019-05-01T17:31:03Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.5,2.75,2.25,0.722222222,0.666666667,0.777777778,2.6,2.1,3.4,3.4,4.1,no,3,4.125
sep_3_0164,end,r_10tw2k0ucbioxjm,spring_2019,2019-05-01T18:23:31Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.25,3.25,3.25,0.444444444,0.444444444,0.444444444,1.6,4.1,4,3.6,3.6,yes,5,5.75
sep_3_0165,end,r_1joou7qzkhf8xck,spring_2019,2019-05-01T22:00:27Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.125,3.25,3,0.555555556,0.666666667,0.444444444,2.6,4.1,3.6,4,3.7,no,3,4.875
sep_3_0166,end,r_2qnh5forefveqez,spring_2019,2019-05-02T15:59:51Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,1.875,1.25,2.5,0.722222222,0.888888889,0.555555556,3.4,2.6,1.8,3.1,4,yes,4,1.5
sep_3_0167,end,r_3fdkhbwtziysskl,spring_2019,2019-05-03T10:56:04Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,2.25,1,3.5,0.333333333,0.555555556,0.111111111,2.1,4.9,3,4.2,2.9,yes,4,7
sep_3_0168,end,r_u8m1tgsudtirdmj,spring_2019,2019-05-03T16:57:16Z,2019,2018_2019,spring,1_22_2019,2017_2023_generic_post_survey,post_study_survey_2018_2019,3.125,3,3.25,0.444444444,0.444444444,0.444444444,2.9,3.5,3.1,3,2.8,yes,5,4.125
sep_3_0317,end,r_27czxfu88pqxq1q,fall_2019,2019-11-17T15:44:20Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.25,3.25,3.25,0.888888889,0.777777778,1,2.3,2.7,4,4,4.3,no,2,6
sep_3_0318,end,r_3qohi7qovnav9or,fall_2019,2019-11-17T21:58:44Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.375,3.5,3.25,0.611111111,0.666666667,0.555555556,1.9,4.2,4.1,4.3,4.2,no,1,7
sep_3_0319,end,r_b7nudc23aqxoijr,fall_2019,2019-11-18T16:02:56Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.25,3.5,3,0.666666667,0.777777778,0.555555556,1.8,3,4.3,3.7,3.5,no,0,4.875
sep_3_0320,end,r_2yued3hepviud9c,fall_2019,2019-11-18T21:07:26Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.75,2.5,3,0.388888889,0.555555556,0.222222222,2,4.5,3.9,3,3.8,no,2,6.25
sep_3_0321,end,r_1qliq27ktm12cbb,fall_2019,2019-11-20T14:48:33Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3,3.25,2.75,0.5,0.555555556,0.444444444,2,3.4,3.3,3,3.7,no,2,6
sep_3_0322,end,r_2xxrtez579ojmwk,fall_2019,2019-11-20T17:59:16Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.625,3,2.25,0.444444444,0.333333333,0.555555556,2.2,4.1,4,4.6,4.5,no,2,6.625
sep_3_0323,end,r_2ykpzoprkotcowa,fall_2019,2019-11-20T18:08:50Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.75,2.75,2.75,0.333333333,0.111111111,0.555555556,1.8,4.3,3.7,4,4.1,no,1,6.875
sep_3_0325,end,r_33jslpzok1dqtlh,fall_2019,2019-11-21T11:29:30Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.5,2,3,0.833333333,0.888888889,0.777777778,1.9,4,3.9,4.6,4.5,no,3,5
sep_3_0326,end,r_233ldohtu7ta5vw,fall_2019,2019-11-21T14:58:48Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.625,3.5,3.75,0.5,0.444444444,0.555555556,1.2,3.8,4.1,3.3,4.4,no,2,7
sep_3_0328,end,r_1g6mrqn8ssf7rq5,fall_2019,2019-11-24T18:13:31Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.5,2.75,2.25,0.5,0.444444444,0.555555556,3.9,2.9,3.6,4.2,2.9,no,0,4.5
sep_3_0329,end,r_3gypjmtju5uthwm,fall_2019,2019-11-25T12:13:49Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.25,1.75,2.75,0.277777778,0.111111111,0.444444444,2.8,2.7,3.4,3.6,3.8,yes,4,6
sep_3_0330,end,r_10xaikrrzewxbvz,fall_2019,2019-11-26T13:47:16Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.25,3,3.5,0.555555556,0.555555556,0.555555556,2.2,2.8,4.1,3.7,2.6,no,2,5.75
sep_3_0331,end,r_1tuyf10evy6ubbv,fall_2019,2019-11-26T16:37:09Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.375,3,1.75,0.5,0.555555556,0.444444444,3.1,2.9,3,3,3.2,yes,4,3.75
sep_3_0332,end,r_a1eadoosph7ljx7,fall_2019,2019-11-26T16:53:05Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.5,3.25,3.75,0.944444444,1,0.888888889,1.7,3.8,4.6,3.5,4.7,no,0,5.75
sep_3_0333,end,r_bixqqi9xwxsk6hf,fall_2019,2019-11-30T13:06:46Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.5,3.25,3.75,0.722222222,1,0.444444444,1.4,3.8,4.5,4.5,4.4,no,1,6.375
sep_3_0334,end,r_3eqh73c7xcwjim5,fall_2019,2019-12-02T00:08:48Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.25,3.25,3.25,0.444444444,0.444444444,0.444444444,1.9,3.9,4,4.2,3.6,no,2,5.5
sep_3_0335,end,r_ptds1emrijfr4fn,fall_2019,2019-12-02T21:11:55Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.125,3.25,3,0.5,0.666666667,0.333333333,3.1,4.2,3.3,3.2,3.3,yes,4,6.5
sep_3_0336,end,r_3j2nrc4mpzccpda,fall_2019,2019-12-02T23:28:55Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.75,3,2.5,0.388888889,0.222222222,0.555555556,2.6,3,3,3,3.6,yes,6,5.5
sep_3_0338,end,r_5tmkjap1g1moqbt,fall_2019,2019-12-03T14:44:06Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3,2.75,3.25,0.444444444,0.333333333,0.555555556,2.4,3.3,3.2,3.6,4.1,no,3,5.5
sep_3_0339,end,r_2ebhqkgen12akpr,fall_2019,2019-12-04T12:00:26Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.75,3.75,3.75,0.166666667,0.222222222,0.111111111,2.9,4.3,4.3,3.3,3.8,no,0,6.75
sep_3_0340,end,r_1nnpppctwl40qsw,fall_2019,2019-12-04T19:25:15Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.5,2,3,0.444444444,0.444444444,0.444444444,3.7,1.8,2.7,3.6,4.3,yes,5,3.875
sep_3_0341,end,r_2zgzmdmhlknnzmw,fall_2019,2019-12-06T16:43:59Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.75,2.5,3,0.388888889,0.333333333,0.444444444,1.9,3.6,4,3.6,4.2,no,1,5.25
sep_3_0344,end,r_2tewgniibxyplep,fall_2019,2019-12-09T10:42:38Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.25,3.25,3.25,0.555555556,0.666666667,0.444444444,2.1,4.1,3.3,3.6,3.9,no,1,4.5
sep_3_0347,end,r_1jebseczo9qrguo,fall_2019,2019-12-09T18:26:50Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.25,2.5,2,0.611111111,0.777777778,0.444444444,2.6,2.9,3,3.1,3.7,yes,5,4.125
sep_3_0348,end,r_5drzphxisk6mr1l,fall_2019,2019-12-10T00:23:35Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.75,3.25,2.25,0.555555556,0.777777778,0.333333333,3.8,2.9,2.3,3.3,4,yes,5,4.75
sep_3_0350,end,r_124qvlxnxp33gum,fall_2019,2019-12-11T12:15:42Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.875,2.75,3,0.555555556,0.666666667,0.444444444,3,4.1,3.5,3.8,3.8,no,2,6.625
sep_3_0351,end,r_xubcn9c3j2av0kn,fall_2019,2019-12-11T12:16:07Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3,2.25,3.75,0.111111111,0.111111111,0.111111111,2.9,3.1,3.1,3,3.1,yes,6,4
sep_3_0352,end,r_1nacyezahodxdb0,fall_2019,2019-12-11T12:25:35Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.625,1.25,4,0.111111111,0.111111111,0.111111111,3,3,3,3,3,no,3,4
sep_3_0354,end,r_2anab2ku7arc4qx,fall_2019,2019-12-11T14:43:24Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,3.5,3.75,3.25,0.055555556,0.111111111,0,2,4.6,4.2,3.9,4,no,0,6.125
sep_3_0355,end,r_8um1w4tzdacaxbj,fall_2019,2019-12-12T11:27:17Z,2019,2019_2020,fall,9_4_2019,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.875,2,3.75,0.555555556,0.555555556,0.555555556,2,4.4,3.8,4.5,3.4,no,3,5.875
sep_3_0434,end,r_1n21jwbwtsebajk,spring_2020,2020-04-06T16:33:38Z,2020,2019_2020,spring,1_21_2020,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.75,3,2.5,0.611111111,0.777777778,0.444444444,2.2,1.7,3.5,3.5,3.7,yes,4,6
sep_3_0435,end,r_w6d8hk1fbtmrc5x,spring_2020,2020-04-26T21:11:46Z,2020,2019_2020,spring,1_21_2020,2017_2023_generic_post_survey,post_study_survey_2019_2020,2.875,3,2.75,0.388888889,0.444444444,0.333333333,3.4,2.4,3.5,3.1,4,yes,4,6
sep_3_0582,end,r_1lo7we2cif4tmua,fall_2020,2020-11-15T12:34:34Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.625,2,3.25,0.555555556,0.444444444,0.666666667,2.6,3.3,3.1,4,3.8,yes,5,5.625
sep_3_0583,end,r_autzsdzskf1zov3,fall_2020,2020-11-15T16:46:56Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.125,2.5,1.75,0.611111111,0.555555556,0.666666667,1.9,3.2,2.8,2.9,4.3,no,3,5.875
sep_3_0587,end,r_24pmkjuko2qp9wz,fall_2020,2020-11-16T11:31:21Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.625,1.5,3.75,0.277777778,0.333333333,0.222222222,3.8,3.4,3.5,4.4,3.7,yes,6,5.5
sep_3_0588,end,r_6ng20an3l0orlst,fall_2020,2020-11-16T13:56:48Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.25,3.25,3.25,0.5,0.444444444,0.555555556,1.8,3.7,3.6,3.5,4.8,no,2,5
sep_3_0589,end,r_pnpgxoh6fpusedb,fall_2020,2020-11-16T14:10:02Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.5,2.25,2.75,0.444444444,0.222222222,0.666666667,2.1,4.4,3,3.4,4.7,yes,6,6.75
sep_3_0590,end,r_12til1x7jce97ux,fall_2020,2020-11-16T16:28:08Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.625,3.5,3.75,0.5,0.555555556,0.444444444,1.3,4.3,3.7,3.1,3.9,yes,4,6.375
sep_3_0591,end,r_3lxagoe2f3vdnwp,fall_2020,2020-11-16T17:03:40Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.5,3.25,3.75,0.611111111,0.666666667,0.555555556,1.8,4,4,2.7,4.4,no,0,6.75
sep_3_0592,end,r_1nt6lqz4sqzjvsy,fall_2020,2020-11-16T21:56:45Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.125,3,3.25,0.333333333,0.222222222,0.444444444,2.8,3.4,3.8,3.3,3.9,no,1,6.5
sep_3_0595,end,r_shyiswddnqvne3n,fall_2020,2020-11-17T13:39:10Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.375,2.25,2.5,0.611111111,0.777777778,0.444444444,1.9,3.9,2.7,2.7,3.5,no,2,5.375
sep_3_0596,end,r_payguy0rg3sdz4b,fall_2020,2020-11-17T14:57:12Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.125,3.25,3,0.333333333,0.444444444,0.222222222,2.9,3.4,4.2,3.2,3.6,no,1,5.75
sep_3_0597,end,r_29cubsvm2ibhliw,fall_2020,2020-11-17T15:58:16Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.5,3,2,0.111111111,0.222222222,0,2.8,3.1,3.4,2.9,3,no,3,3.875
sep_3_0600,end,r_1cbjwup4iahfbij,fall_2020,2020-11-17T19:31:37Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,1.5,1.25,1.75,0.777777778,1,0.555555556,4.3,4.4,2.9,5,3.4,yes,5,5.125
sep_3_0601,end,r_1oq4sgrzqdel9qk,fall_2020,2020-11-17T22:20:47Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.25,3,3.5,0.666666667,0.888888889,0.444444444,1.3,2.8,3.6,4.5,4.5,no,2,4.375
sep_3_0603,end,r_25mfdq7zqtf42ux,fall_2020,2020-11-17T22:56:31Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.75,2.5,3,0.444444444,0.333333333,0.555555556,3,4,3.7,3.3,3.8,no,3,5.125
sep_3_0604,end,r_3nj73r7uttjsdoj,fall_2020,2020-11-18T10:52:58Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.875,3.5,2.25,0.777777778,0.888888889,0.666666667,2.4,2.6,3.5,4.1,4.1,no,3,4.125
sep_3_0605,end,r_3e2ng6olcl2mspo,fall_2020,2020-11-18T17:26:38Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.75,3.5,4,0.833333333,0.777777778,0.888888889,1.5,4.2,4.1,4.6,4.3,no,1,6.5
sep_3_0606,end,r_3r49zt0otqz0mie,fall_2020,2020-11-18T21:22:05Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.75,2.25,3.25,0.777777778,0.888888889,0.666666667,1.4,4,4,3.4,3.9,no,1,7
sep_3_0607,end,r_1n8rr5ctm4p2xgk,fall_2020,2020-11-18T22:03:00Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.25,2.5,2,0.388888889,0.333333333,0.444444444,3.5,3.1,3.2,2.9,4,yes,6,4.375
sep_3_0608,end,r_20syg7trk4iiggg,fall_2020,2020-11-19T10:54:21Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.25,2.75,3.75,0.388888889,0.555555556,0.222222222,1.3,2.9,4.6,2.7,4.1,no,3,5.25
sep_3_0609,end,r_bxstg4laswrmsph,fall_2020,2020-11-19T11:18:25Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.25,2.25,2.25,0.611111111,0.777777778,0.444444444,3.4,2.3,3,4,3.9,yes,5,5.5
sep_3_0612,end,r_3p5wozvkh9nwawf,fall_2020,2020-11-19T13:19:24Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.125,2.75,1.5,0.277777778,0.111111111,0.444444444,2.7,4.5,4.2,3.9,3.5,yes,5,3.375
sep_3_0614,end,r_3r42a7sgnqhwhxo,fall_2020,2020-11-19T15:40:49Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.25,2.75,1.75,0.555555556,0.444444444,0.666666667,2.6,4,2.8,2.7,3.7,no,3,2.25
sep_3_0615,end,r_3iwiwraqq1lknsi,fall_2020,2020-11-19T17:08:29Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.375,3,3.75,0.777777778,0.777777778,0.777777778,1.8,3.4,3.5,4.5,3.8,no,1,6
sep_3_0616,end,r_3hhzzjzro10596f,fall_2020,2020-11-19T19:38:44Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.125,3.5,2.75,0.277777778,0.333333333,0.222222222,3.2,3.2,4.2,3.9,4,no,0,6.5
sep_3_0617,end,r_2bbwxxkeyv79vtx,fall_2020,2020-11-19T22:08:19Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.875,2.5,3.25,0.166666667,0,0.333333333,3.1,2.8,3.3,4.1,3.7,no,2,5.375
sep_3_0618,end,r_3cb2bvbs49prwyt,fall_2020,2020-11-20T00:06:40Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3,2.75,3.25,0.166666667,0.222222222,0.111111111,3.1,3.9,4.2,3.2,4.3,no,0,5.125
sep_3_0619,end,r_3n275jr63a4xj7n,fall_2020,2020-11-20T10:02:32Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.625,3.5,3.75,0.5,0.777777778,0.222222222,2.9,4.1,3.8,4.4,4.5,no,3,6.875
sep_3_0620,end,r_3mfci3w9vjkpmaz,fall_2020,2020-11-20T10:25:40Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.5,2.25,2.75,0.777777778,0.777777778,0.777777778,2.4,4,3,2.8,4,no,0,5.25
sep_3_0621,end,r_1oogvermhh4rqql,fall_2020,2020-11-20T12:22:23Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.625,2,3.25,0.166666667,0.111111111,0.222222222,2.7,3.4,2.9,3.3,3.5,no,2,4
sep_3_0622,end,r_abctgumtpstmxr3,fall_2020,2020-11-20T12:49:58Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.125,3,3.25,0.222222222,0.222222222,0.222222222,3.2,4.2,3.6,2.8,3,yes,5,4.5
sep_3_0623,end,r_3il50rzfndzbk84,fall_2020,2020-11-20T15:41:52Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.875,2.25,3.5,0.666666667,0.777777778,0.555555556,3.7,1.9,3.7,2.3,3.5,no,2,3.25
sep_3_0624,end,r_6pbcph47xfqjo5j,fall_2020,2020-11-20T17:15:39Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,2.625,2,3.25,0.5,0.555555556,0.444444444,3.8,4.3,3.8,4.4,4.4,yes,4,4.5
sep_3_0626,end,r_2chmclcnb8jggtl,fall_2020,2020-11-20T19:55:40Z,2020,2020_2021,fall,9_2_2020,2017_2023_generic_post_survey,post_study_survey_2020_2021,3.125,3.25,3,0.555555556,0.555555556,0.555555556,3.9,3.6,3.6,3.6,3.8,no,0,5
